Facility.ID,Jurisdiction,State,Name,Date,source,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Staff.Active,Population.Feb20,Residents.Population,Residents.Tested,Residents.Vadmin,Staff.Population,Staff.Vadmin,Address,Zipcode,City,County,Latitude,Longitude,County.FIPS,HIFLD.ID,jurisdiction_scraper,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Capacity,BJS.ID,Source.Population.Feb20,Source.Capacity,Website,ICE.Field.Office,Notes,V1,Website.y,Web.Group,Residents.Vaccinated,Staff.Vaccinated,Community.Active
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-02,https://www.cdcr.ca.gov/covid19/updates/,821,273,1,NA,804,269,NA,NA,NA,NA,NA,NA,NA,NA,15,4,2814,2242,NA,NA,1315,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1365,598,178
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-05,https://www.cdcr.ca.gov/covid19/updates/,810,273,1,NA,804,269,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2814,2244,NA,NA,1318,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1381,596,183
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-07,https://www.cdcr.ca.gov/covid19/updates/,808,273,1,NA,805,269,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2814,2265,NA,NA,1322,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1401,597,199
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-09,https://www.cdcr.ca.gov/covid19/updates/,808,273,1,NA,806,269,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2293,NA,NA,1322,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1406,597,191
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-11,https://www.cdcr.ca.gov/covid19/updates/,808,273,1,NA,806,269,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2299,NA,NA,1320,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1406,597,217
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-12,https://www.cdcr.ca.gov/covid19/updates/,808,273,1,NA,806,269,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2296,NA,NA,1320,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1410,597,212
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-14,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2319,NA,NA,1321,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2555,1136,227
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-16,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2366,NA,NA,1322,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2581,1136,236
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-18,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2356,NA,NA,1324,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2593,1159,247
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-19,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2344,NA,NA,1324,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2675,1159,243
