State,Date,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Staff.Active,Residents.Population,Residents.Tested,Residents.Vadmin,Staff.Population,Staff.Vadmin,Residents.Vaccinated,Staff.Vaccinated,Community.Active
Alabama,2020-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3686,0,0,0,1012
Alabama,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3686,0,0,0,1114
Alabama,2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3113,0,0,3686,0,0,0,1283
Alabama,2020-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3113,0,0,3686,0,0,0,1491
Alabama,2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3113,0,0,3686,0,0,0,1578
Alabama,2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3113,0,0,3686,0,0,0,1725
Alabama,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3113,0,0,3686,0,0,0,1855
Alabama,2020-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3113,0,0,3686,0,0,0,2010
Alabama,2020-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3113,0,0,3686,0,0,0,2142
Alabama,2020-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3093,0,0,3686,0,0,0,2380
Alabama,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3093,0,0,3686,0,0,0,2428
Alabama,2020-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3093,0,0,3686,0,0,0,2545
Alabama,2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3093,0,0,3686,0,0,0,2787
Alabama,2020-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3093,0,0,3686,0,0,0,2869
Alabama,2020-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3093,0,0,3686,0,0,0,2978
Alabama,2020-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3093,0,0,3686,0,0,0,3132
Alabama,2020-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3086,0,0,3686,0,0,0,3094
Alabama,2020-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3086,0,0,3686,0,0,0,2951
Alabama,2020-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3086,0,0,3686,0,0,0,3061
Alabama,2020-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3086,0,0,3686,0,0,0,3073
Alabama,2020-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3086,0,0,3686,0,0,0,3084
Alabama,2020-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3086,0,0,3686,0,0,0,3096
Alabama,2020-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3086,0,0,3686,0,0,0,3078
Alabama,2020-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3046,0,0,3686,0,0,0,2945
Alabama,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3046,0,0,3686,0,0,0,2980
Alabama,2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3046,0,0,3686,0,0,0,2928
Alabama,2020-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3046,0,0,3686,0,0,0,2808
Alabama,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3046,0,0,3686,0,0,0,2751
Alabama,2020-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3046,0,0,3686,0,0,0,2779
Alabama,2020-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3046,0,0,3686,0,0,0,2672
Alabama,2020-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3046,0,0,3686,0,0,0,2722
Alabama,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3046,0,0,3686,0,0,0,2883
Alabama,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3046,0,0,3686,0,0,0,2912
Alabama,2020-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3046,0,0,3686,0,0,0,2999
Alabama,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3046,0,0,3686,0,0,0,3040
Alabama,2020-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3046,0,0,3686,0,0,0,3116
Alabama,2020-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3046,0,0,3686,0,0,0,3077
Alabama,2020-05-07,0,0,0,0,3,8,0,0,0,0,0,0,0,0,6,5,3046,0,0,3686,0,0,0,3216
Alabama,2020-05-08,0,0,0,0,3,8,0,0,0,0,0,0,0,0,6,5,2993,0,0,3686,0,0,0,3345
Alabama,2020-05-09,0,0,0,0,3,8,0,0,0,0,0,0,0,0,6,5,2993,0,0,3686,0,0,0,3446
Alabama,2020-05-10,0,0,0,0,3,8,0,0,0,0,0,0,0,0,6,5,2993,0,0,3686,0,0,0,3507
Alabama,2020-05-11,0,0,0,0,3,8,0,0,0,0,0,0,0,0,6,5,2993,0,0,3686,0,0,0,3641
Alabama,2020-05-12,0,0,0,0,9,8,0,0,0,0,0,0,0,0,1,5,2993,0,0,3686,0,0,0,3746
Alabama,2020-05-13,0,0,0,0,9,8,0,0,0,0,0,0,0,0,1,5,2993,0,0,3686,0,0,0,3843
Alabama,2020-05-14,0,0,0,0,9,8,0,0,0,0,0,0,0,0,1,5,2993,0,0,3686,0,0,0,3974
