State,Date,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Staff.Active,Residents.Population,Residents.Tested,Residents.Vadmin,Staff.Population,Staff.Vadmin,Residents.Vaccinated,Staff.Vaccinated,Community.Active
California,2020-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,63471,0,0,0,7394
California,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,63471,0,0,0,8453
California,2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,13464,0,0,63471,0,0,0,9761
California,2020-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,13464,0,0,63471,0,0,0,10824
California,2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,13464,0,0,63471,0,0,0,11418
California,2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,13464,0,0,63471,0,0,0,12772
California,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,13464,0,0,63471,0,0,0,13906
California,2020-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,13464,0,0,63471,0,0,0,14575
California,2020-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,13464,0,0,63471,0,0,0,15541
California,2020-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,13315,0,0,63471,0,0,0,15635
California,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,13315,0,0,63471,0,0,0,16181
California,2020-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,13315,0,0,63471,0,0,0,13925
California,2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,13315,0,0,63471,0,0,0,16687
California,2020-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,13315,0,0,63471,0,0,0,16519
California,2020-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,3,13315,0,0,63471,0,0,0,16509
California,2020-04-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,3,13315,0,0,63471,0,0,0,17086
California,2020-04-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,3,13288,0,0,63471,0,0,0,16810
California,2020-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92,3,13288,0,0,63471,0,0,0,17204
California,2020-04-18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,86,3,13288,0,0,63471,0,0,0,17803
California,2020-04-19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,87,3,13288,0,0,63471,0,0,0,16813
California,2020-04-20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,111,4,13288,0,0,63471,0,0,0,17558
California,2020-04-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,120,5,13288,0,0,63471,0,0,0,18652
California,2020-04-22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,126,6,13288,0,0,63471,0,0,0,19170
California,2020-04-23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,73,6,13258,0,0,63471,0,0,0,20059
California,2020-04-24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,74,21,13258,0,0,63471,0,0,0,20712
California,2020-04-25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,92,21,13258,0,0,63471,0,0,0,20969
California,2020-04-26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,125,22,13258,0,0,63471,0,0,0,21528
