,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,199
29502,139.0,MULE CREEK STATE PRISON,2020-11-10,0.0,3894.0,4007.0,384
29503,139.0,MULE CREEK STATE PRISON,2020-11-12,0.0,3906.0,4007.0,392
29504,139.0,MULE CREEK STATE PRISON,2020-11-14,0.0,3906.0,4007.0,404
29505,139.0,MULE CREEK STATE PRISON,2020-11-16,0.0,3906.0,4007.0,415
29506,139.0,MULE CREEK STATE PRISON,2020-11-18,0.0,3914.0,4007.0,431
29507,139.0,MULE CREEK STATE PRISON,2020-11-20,0.0,3914.0,4007.0,447
29508,139.0,MULE CREEK STATE PRISON,2020-11-22,0.0,3914.0,4007.0,451
29509,139.0,MULE CREEK STATE PRISON,2020-11-23,3.0,3914.0,4007.0,458
29510,139.0,MULE CREEK STATE PRISON,2020-11-24,8.0,3914.0,4007.0,471
29511,139.0,MULE CREEK STATE PRISON,2020-11-26,8.0,3915.0,4007.0,489
29512,139.0,MULE CREEK STATE PRISON,2020-11-29,61.0,3915.0,4007.0,550
29513,139.0,MULE CREEK STATE PRISON,2020-11-30,103.0,3915.0,4007.0,561
29514,139.0,MULE CREEK STATE PRISON,2020-12-02,165.0,3911.0,4007.0,588
29515,139.0,MULE CREEK STATE PRISON,2020-12-04,319.0,3911.0,4007.0,769
29516,139.0,MULE CREEK STATE PRISON,2020-12-06,412.0,3911.0,4007.0,958
29517,139.0,MULE CREEK STATE PRISON,2020-12-07,475.0,3911.0,4007.0,1000
29518,139.0,MULE CREEK STATE PRISON,2020-12-09,469.0,3897.0,4007.0,1129
29519,139.0,MULE CREEK STATE PRISON,2020-12-13,786.0,3897.0,4007.0,1466
29520,139.0,MULE CREEK STATE PRISON,2020-12-14,610.0,3897.0,4007.0,1619
29521,139.0,MULE CREEK STATE PRISON,2020-12-16,575.0,3883.0,4007.0,1705
29522,139.0,MULE CREEK STATE PRISON,2020-12-18,486.0,3883.0,4007.0,1742
29523,139.0,MULE CREEK STATE PRISON,2020-12-21,621.0,3883.0,4007.0,1833
29524,139.0,MULE CREEK STATE PRISON,2020-12-22,613.0,3883.0,4007.0,1857
29525,139.0,MULE CREEK STATE PRISON,2020-12-23,591.0,3869.0,4007.0,2126
29526,139.0,MULE CREEK STATE PRISON,2020-12-25,370.0,3869.0,4007.0,2191
29527,139.0,MULE CREEK STATE PRISON,2020-12-27,443.0,3869.0,4007.0,2237
29528,139.0,MULE CREEK STATE PRISON,2020-12-28,439.0,3869.0,4007.0,2274
29529,139.0,MULE CREEK STATE PRISON,2020-12-29,415.0,3869.0,4007.0,2407
29530,139.0,MULE CREEK STATE PRISON,2020-12-30,440.0,3862.0,4007.0,2438
29531,139.0,MULE CREEK STATE PRISON,2021-01-01,410.0,3862.0,4007.0,2534
29532,139.0,MULE CREEK STATE PRISON,2021-01-03,401.0,3862.0,4007.0,2588
29533,139.0,MULE CREEK STATE PRISON,2021-01-04,369.0,3862.0,4007.0,2619
29534,139.0,MULE CREEK STATE PRISON,2021-01-05,341.0,3862.0,4007.0,2718
29535,139.0,MULE CREEK STATE PRISON,2021-01-06,279.0,3846.0,4007.0,2740
29536,139.0,MULE CREEK STATE PRISON,2021-01-08,250.0,3846.0,4007.0,2817
29538,139.0,MULE CREEK STATE PRISON,2021-01-11,234.0,3846.0,4007.0,2892
29539,139.0,MULE CREEK STATE PRISON,2021-01-13,119.0,3840.0,4007.0,2939
29540,139.0,MULE CREEK STATE PRISON,2021-01-15,118.0,3840.0,4007.0,2978
29541,139.0,MULE CREEK STATE PRISON,2021-01-17,135.0,3840.0,4007.0,3026
29542,139.0,MULE CREEK STATE PRISON,2021-01-18,135.0,3840.0,4007.0,3041
29543,139.0,MULE CREEK STATE PRISON,2021-01-20,94.0,3840.0,4007.0,3061
29544,139.0,MULE CREEK STATE PRISON,2021-01-22,83.0,3840.0,4007.0,3067
