,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,204
31466,145.0,PELICAN BAY STATE PRISON,2020-11-10,3.0,2287.0,2648.0,196
31467,145.0,PELICAN BAY STATE PRISON,2020-11-12,3.0,2271.0,2648.0,203
31468,145.0,PELICAN BAY STATE PRISON,2020-11-14,2.0,2271.0,2648.0,219
31469,145.0,PELICAN BAY STATE PRISON,2020-11-16,3.0,2271.0,2648.0,225
31470,145.0,PELICAN BAY STATE PRISON,2020-11-18,2.0,2257.0,2648.0,240
31471,145.0,PELICAN BAY STATE PRISON,2020-11-20,1.0,2257.0,2648.0,264
31472,145.0,PELICAN BAY STATE PRISON,2020-11-22,4.0,2257.0,2648.0,271
31473,145.0,PELICAN BAY STATE PRISON,2020-11-23,6.0,2257.0,2648.0,296
31474,145.0,PELICAN BAY STATE PRISON,2020-11-24,8.0,2257.0,2648.0,298
31475,145.0,PELICAN BAY STATE PRISON,2020-11-26,20.0,2248.0,2648.0,307
31476,145.0,PELICAN BAY STATE PRISON,2020-11-29,33.0,2248.0,2648.0,339
31477,145.0,PELICAN BAY STATE PRISON,2020-11-30,34.0,2248.0,2648.0,339
31478,145.0,PELICAN BAY STATE PRISON,2020-12-02,33.0,2240.0,2648.0,384
31479,145.0,PELICAN BAY STATE PRISON,2020-12-04,38.0,2240.0,2648.0,401
31480,145.0,PELICAN BAY STATE PRISON,2020-12-06,47.0,2240.0,2648.0,414
31481,145.0,PELICAN BAY STATE PRISON,2020-12-07,52.0,2240.0,2648.0,424
31482,145.0,PELICAN BAY STATE PRISON,2020-12-09,50.0,2231.0,2648.0,481
31483,145.0,PELICAN BAY STATE PRISON,2020-12-13,81.0,2231.0,2648.0,542
31484,145.0,PELICAN BAY STATE PRISON,2020-12-14,82.0,2231.0,2648.0,560
31485,145.0,PELICAN BAY STATE PRISON,2020-12-16,76.0,2222.0,2648.0,575
31486,145.0,PELICAN BAY STATE PRISON,2020-12-18,79.0,2222.0,2648.0,627
31487,145.0,PELICAN BAY STATE PRISON,2020-12-21,89.0,2222.0,2648.0,660
31488,145.0,PELICAN BAY STATE PRISON,2020-12-22,52.0,2222.0,2648.0,666
31489,145.0,PELICAN BAY STATE PRISON,2020-12-23,48.0,2213.0,2648.0,670
31490,145.0,PELICAN BAY STATE PRISON,2020-12-25,62.0,2213.0,2648.0,692
31491,145.0,PELICAN BAY STATE PRISON,2020-12-27,64.0,2213.0,2648.0,712
31492,145.0,PELICAN BAY STATE PRISON,2020-12-28,64.0,2213.0,2648.0,718
31493,145.0,PELICAN BAY STATE PRISON,2020-12-29,29.0,2213.0,2648.0,724
31494,145.0,PELICAN BAY STATE PRISON,2020-12-30,24.0,2209.0,2648.0,726
31495,145.0,PELICAN BAY STATE PRISON,2021-01-01,31.0,2209.0,2648.0,758
31496,145.0,PELICAN BAY STATE PRISON,2021-01-03,33.0,2209.0,2648.0,768
31497,145.0,PELICAN BAY STATE PRISON,2021-01-04,33.0,2209.0,2648.0,770
31498,145.0,PELICAN BAY STATE PRISON,2021-01-05,16.0,2209.0,2648.0,770
31499,145.0,PELICAN BAY STATE PRISON,2021-01-06,15.0,2199.0,2648.0,780
31500,145.0,PELICAN BAY STATE PRISON,2021-01-08,16.0,2199.0,2648.0,795
31502,145.0,PELICAN BAY STATE PRISON,2021-01-11,17.0,2199.0,2648.0,810
31503,145.0,PELICAN BAY STATE PRISON,2021-01-13,6.0,2198.0,2648.0,820
31504,145.0,PELICAN BAY STATE PRISON,2021-01-15,7.0,2198.0,2648.0,828
31505,145.0,PELICAN BAY STATE PRISON,2021-01-17,9.0,2198.0,2648.0,838
