,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,211
28804,131.0,KERN VALLEY STATE PRISON,2020-11-10,0.0,3621.0,3551.0,35610
28805,131.0,KERN VALLEY STATE PRISON,2020-11-12,0.0,3627.0,3551.0,36069
28806,131.0,KERN VALLEY STATE PRISON,2020-11-14,0.0,3627.0,3551.0,36470
28807,131.0,KERN VALLEY STATE PRISON,2020-11-16,1.0,3627.0,3551.0,36919
28808,131.0,KERN VALLEY STATE PRISON,2020-11-18,1.0,3648.0,3551.0,37323
28809,131.0,KERN VALLEY STATE PRISON,2020-11-20,9.0,3648.0,3551.0,37982
28810,131.0,KERN VALLEY STATE PRISON,2020-11-22,11.0,3648.0,3551.0,38519
28811,131.0,KERN VALLEY STATE PRISON,2020-11-23,16.0,3648.0,3551.0,39437
28812,131.0,KERN VALLEY STATE PRISON,2020-11-24,16.0,3648.0,3551.0,39721
28813,131.0,KERN VALLEY STATE PRISON,2020-11-26,25.0,3648.0,3551.0,40337
28814,131.0,KERN VALLEY STATE PRISON,2020-11-29,102.0,3648.0,3551.0,41827
28815,131.0,KERN VALLEY STATE PRISON,2020-11-30,116.0,3648.0,3551.0,41957
28816,131.0,KERN VALLEY STATE PRISON,2020-12-02,122.0,3637.0,3551.0,42937
28817,131.0,KERN VALLEY STATE PRISON,2020-12-04,127.0,3637.0,3551.0,43860
28818,131.0,KERN VALLEY STATE PRISON,2020-12-06,146.0,3637.0,3551.0,45078
28819,131.0,KERN VALLEY STATE PRISON,2020-12-07,159.0,3637.0,3551.0,45342
28820,131.0,KERN VALLEY STATE PRISON,2020-12-09,193.0,3636.0,3551.0,47411
28821,131.0,KERN VALLEY STATE PRISON,2020-12-13,511.0,3636.0,3551.0,50624
28822,131.0,KERN VALLEY STATE PRISON,2020-12-14,590.0,3636.0,3551.0,51612
28823,131.0,KERN VALLEY STATE PRISON,2020-12-16,526.0,3626.0,3551.0,54681
28824,131.0,KERN VALLEY STATE PRISON,2020-12-18,521.0,3626.0,3551.0,56687
28825,131.0,KERN VALLEY STATE PRISON,2020-12-21,512.0,3626.0,3551.0,59148
28826,131.0,KERN VALLEY STATE PRISON,2020-12-22,520.0,3626.0,3551.0,60260
28827,131.0,KERN VALLEY STATE PRISON,2020-12-23,517.0,3620.0,3551.0,61324
