,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County
18751,83.0,AVENAL STATE PRISON,2020-11-10,35.0,3469.0,4204.0,9331,152940,kings
18752,83.0,AVENAL STATE PRISON,2020-11-12,20.0,3454.0,4204.0,9440,152940,kings
18753,83.0,AVENAL STATE PRISON,2020-11-14,20.0,3454.0,4204.0,9598,152940,kings
18754,83.0,AVENAL STATE PRISON,2020-11-16,20.0,3454.0,4204.0,9684,152940,kings
18755,83.0,AVENAL STATE PRISON,2020-11-18,7.0,3432.0,4204.0,9822,152940,kings
18756,83.0,AVENAL STATE PRISON,2020-11-20,9.0,3432.0,4204.0,10040,152940,kings
18757,83.0,AVENAL STATE PRISON,2020-11-22,4.0,3432.0,4204.0,10178,152940,kings
18758,83.0,AVENAL STATE PRISON,2020-11-23,4.0,3432.0,4204.0,10356,152940,kings
18759,83.0,AVENAL STATE PRISON,2020-11-24,4.0,3432.0,4204.0,10498,152940,kings
18760,83.0,AVENAL STATE PRISON,2020-11-26,4.0,3423.0,4204.0,10652,152940,kings
18761,83.0,AVENAL STATE PRISON,2020-11-29,5.0,3423.0,4204.0,11464,152940,kings
18762,83.0,AVENAL STATE PRISON,2020-11-30,5.0,3423.0,4204.0,11583,152940,kings
18763,83.0,AVENAL STATE PRISON,2020-12-02,3.0,3406.0,4204.0,11801,152940,kings
18764,83.0,AVENAL STATE PRISON,2020-12-04,4.0,3406.0,4204.0,12064,152940,kings
18765,83.0,AVENAL STATE PRISON,2020-12-06,4.0,3406.0,4204.0,12362,152940,kings
18766,83.0,AVENAL STATE PRISON,2020-12-07,6.0,3406.0,4204.0,12736,152940,kings
18767,83.0,AVENAL STATE PRISON,2020-12-09,4.0,3395.0,4204.0,13063,152940,kings
18768,83.0,AVENAL STATE PRISON,2020-12-13,7.0,3395.0,4204.0,13730,152940,kings
18769,83.0,AVENAL STATE PRISON,2020-12-14,7.0,3395.0,4204.0,13885,152940,kings
18770,83.0,AVENAL STATE PRISON,2020-12-16,23.0,3378.0,4204.0,14176,152940,kings
