,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County
28094,128.0,HIGH DESERT STATE PRISON,2020-11-10,38.0,3351.0,3161.0,841,30573,lassen
28095,128.0,HIGH DESERT STATE PRISON,2020-11-12,162.0,3353.0,3161.0,906,30573,lassen
28096,128.0,HIGH DESERT STATE PRISON,2020-11-14,275.0,3353.0,3161.0,1135,30573,lassen
28097,128.0,HIGH DESERT STATE PRISON,2020-11-16,283.0,3353.0,3161.0,1135,30573,lassen
28098,128.0,HIGH DESERT STATE PRISON,2020-11-18,315.0,3346.0,3161.0,1214,30573,lassen
28099,128.0,HIGH DESERT STATE PRISON,2020-11-20,418.0,3346.0,3161.0,1355,30573,lassen
28100,128.0,HIGH DESERT STATE PRISON,2020-11-22,553.0,3346.0,3161.0,1480,30573,lassen
28101,128.0,HIGH DESERT STATE PRISON,2020-11-23,684.0,3346.0,3161.0,1715,30573,lassen
28102,128.0,HIGH DESERT STATE PRISON,2020-11-24,710.0,3346.0,3161.0,1715,30573,lassen
28103,128.0,HIGH DESERT STATE PRISON,2020-11-26,574.0,3345.0,3161.0,1773,30573,lassen
28104,128.0,HIGH DESERT STATE PRISON,2020-11-29,611.0,3345.0,3161.0,1773,30573,lassen
28105,128.0,HIGH DESERT STATE PRISON,2020-11-30,617.0,3345.0,3161.0,2160,30573,lassen
28106,128.0,HIGH DESERT STATE PRISON,2020-12-02,451.0,3336.0,3161.0,2220,30573,lassen
28107,128.0,HIGH DESERT STATE PRISON,2020-12-04,377.0,3336.0,3161.0,2422,30573,lassen
28108,128.0,HIGH DESERT STATE PRISON,2020-12-06,434.0,3336.0,3161.0,2422,30573,lassen
28109,128.0,HIGH DESERT STATE PRISON,2020-12-07,543.0,3336.0,3161.0,2812,30573,lassen
28110,128.0,HIGH DESERT STATE PRISON,2020-12-09,439.0,3329.0,3161.0,2930,30573,lassen
28111,128.0,HIGH DESERT STATE PRISON,2020-12-13,674.0,3329.0,3161.0,3127,30573,lassen
28112,128.0,HIGH DESERT STATE PRISON,2020-12-14,751.0,3329.0,3161.0,3127,30573,lassen
28113,128.0,HIGH DESERT STATE PRISON,2020-12-16,647.0,3316.0,3161.0,3685,30573,lassen
28114,128.0,HIGH DESERT STATE PRISON,2020-12-18,543.0,3316.0,3161.0,3861,30573,lassen
28115,128.0,HIGH DESERT STATE PRISON,2020-12-21,563.0,3316.0,3161.0,4116,30573,lassen
28116,128.0,HIGH DESERT STATE PRISON,2020-12-22,465.0,3316.0,3161.0,4156,30573,lassen
28117,128.0,HIGH DESERT STATE PRISON,2020-12-23,372.0,3310.0,3161.0,4180,30573,lassen
28118,128.0,HIGH DESERT STATE PRISON,2020-12-25,289.0,3310.0,3161.0,4180,30573,lassen
