,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,216
26319,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-10,0.0,2019.0,2814.0,5299
26320,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-12,0.0,2009.0,2814.0,5352
26321,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-14,0.0,2009.0,2814.0,5456
26322,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-16,0.0,2009.0,2814.0,5526
26323,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-18,0.0,1998.0,2814.0,5626
26324,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-20,0.0,1998.0,2814.0,5761
26325,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-22,0.0,1998.0,2814.0,5873
26326,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-23,0.0,1998.0,2814.0,5926
26327,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-24,0.0,1998.0,2814.0,6025
26328,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-26,0.0,2053.0,2814.0,6157
26329,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-29,0.0,2053.0,2814.0,6357
26330,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-11-30,0.0,2053.0,2814.0,6389
26331,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-02,1.0,2046.0,2814.0,6572
26332,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-04,2.0,2046.0,2814.0,6693
26333,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-06,2.0,2046.0,2814.0,7050
26334,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-07,3.0,2046.0,2814.0,7167
26335,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-09,3.0,2034.0,2814.0,7467
26336,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-13,7.0,2034.0,2814.0,8193
26337,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-14,9.0,2034.0,2814.0,8310
26338,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-16,11.0,2024.0,2814.0,8595
26339,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-18,10.0,2024.0,2814.0,8939
26340,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-21,19.0,2024.0,2814.0,9425
26341,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-22,23.0,2024.0,2814.0,9563
26342,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-23,23.0,2011.0,2814.0,9763
26343,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-25,87.0,2011.0,2814.0,10183
26344,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-27,155.0,2011.0,2814.0,10440
26345,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-28,192.0,2011.0,2814.0,10568
26346,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-29,217.0,2011.0,2814.0,10719
26347,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2020-12-30,323.0,2002.0,2814.0,10733
26348,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-01,394.0,2002.0,2814.0,11258
26349,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-03,472.0,2002.0,2814.0,11679
26350,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-04,502.0,2002.0,2814.0,11755
26351,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-05,511.0,2002.0,2814.0,11932
26352,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-06,440.0,1990.0,2814.0,11993
26353,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-08,431.0,1990.0,2814.0,12450
26355,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-11,414.0,1990.0,2814.0,12999
26356,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-13,332.0,1986.0,2814.0,13222
26357,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-15,210.0,1986.0,2814.0,13552
26358,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-17,173.0,1986.0,2814.0,14004
26359,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-18,160.0,1986.0,2814.0,14125
26360,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-20,148.0,1992.0,2814.0,14283
26361,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-22,134.0,1992.0,2814.0,14492
26362,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-25,96.0,1992.0,2814.0,14788
26363,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-27,69.0,1983.0,2814.0,14924
26364,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-29,76.0,1983.0,2814.0,15116
26365,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-01-31,76.0,1983.0,2814.0,15240
26366,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-01,76.0,1983.0,2814.0,15324
26368,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-05,37.0,2022.0,2814.0,15518
26369,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-07,39.0,2022.0,2814.0,15623
26370,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-08,25.0,2022.0,2814.0,15664
26371,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-10,19.0,2029.0,2814.0,15712
26372,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-12,19.0,2029.0,2814.0,15813
26373,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-14,19.0,2029.0,2814.0,15888
26374,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-15,19.0,2029.0,2814.0,15911
26375,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-17,15.0,2017.0,2814.0,15943
26376,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-19,13.0,2017.0,2814.0,16044
26377,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-22,13.0,2017.0,2814.0,16153
26378,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-23,11.0,2017.0,2814.0,16184
26379,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-24,8.0,2037.0,2814.0,16228
26380,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-26,9.0,2037.0,2814.0,16278
26381,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-02-28,12.0,2037.0,2814.0,16341
26382,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-01,12.0,2037.0,2814.0,16353
26383,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-03,12.0,2037.0,2814.0,16414
26384,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-05,18.0,2063.0,2814.0,16495
26385,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-07,16.0,2063.0,2814.0,16550
26386,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-08,16.0,2063.0,2814.0,16566
26387,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-10,14.0,2063.0,2814.0,16584
26388,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-12,14.0,2091.0,2814.0,16645
26389,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-14,13.0,2091.0,2814.0,16691
26390,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-15,13.0,2091.0,2814.0,16693
26391,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-17,6.0,2091.0,2814.0,16726
26392,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-19,6.0,2123.0,2814.0,16771
26393,112.0,CENTRAL CALIFORNIA WOMENS FACILITY,2021-03-21,5.0,2123.0,2814.0,16791
