,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County
27029,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-10,178.0,4396.0,5063.0,12467,434061,monterey
27030,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-12,227.0,4391.0,5063.0,12633,434061,monterey
27031,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-14,280.0,4391.0,5063.0,13024,434061,monterey
27032,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-16,295.0,4391.0,5063.0,13282,434061,monterey
27033,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-18,296.0,4365.0,5063.0,13556,434061,monterey
27034,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-20,334.0,4365.0,5063.0,13980,434061,monterey
27035,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-22,419.0,4365.0,5063.0,14144,434061,monterey
27036,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-23,441.0,4365.0,5063.0,14528,434061,monterey
27037,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-24,432.0,4365.0,5063.0,14624,434061,monterey
27038,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-26,331.0,4349.0,5063.0,15034,434061,monterey
27039,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-29,395.0,4349.0,5063.0,15917,434061,monterey
27040,115.0,CORRECTIONAL TRAINING FACILITY,2020-11-30,450.0,4349.0,5063.0,16140,434061,monterey
27041,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-02,313.0,4335.0,5063.0,16385,434061,monterey
27042,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-04,251.0,4335.0,5063.0,17108,434061,monterey
27043,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-06,324.0,4335.0,5063.0,17810,434061,monterey
27044,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-07,449.0,4335.0,5063.0,18140,434061,monterey
27045,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-09,441.0,4311.0,5063.0,18304,434061,monterey
27046,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-13,819.0,4311.0,5063.0,19379,434061,monterey
27047,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-14,852.0,4311.0,5063.0,19636,434061,monterey
27048,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-16,798.0,4275.0,5063.0,21659,434061,monterey
27049,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-18,714.0,4275.0,5063.0,22914,434061,monterey
27050,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-21,913.0,4275.0,5063.0,24307,434061,monterey
27051,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-22,892.0,4275.0,5063.0,24800,434061,monterey
27052,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-23,858.0,4258.0,5063.0,25525,434061,monterey
27053,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-25,775.0,4258.0,5063.0,26470,434061,monterey
27054,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-27,865.0,4258.0,5063.0,27022,434061,monterey
27055,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-28,867.0,4258.0,5063.0,27246,434061,monterey
27056,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-29,727.0,4258.0,5063.0,27624,434061,monterey
27057,115.0,CORRECTIONAL TRAINING FACILITY,2020-12-30,541.0,4241.0,5063.0,27735,434061,monterey
27058,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-01,508.0,4241.0,5063.0,29258,434061,monterey
27059,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-03,639.0,4241.0,5063.0,30169,434061,monterey
27060,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-04,606.0,4241.0,5063.0,30508,434061,monterey
27061,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-05,543.0,4241.0,5063.0,30917,434061,monterey
27062,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-06,509.0,4238.0,5063.0,31297,434061,monterey
27063,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-08,442.0,4238.0,5063.0,32512,434061,monterey
27065,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-11,368.0,4238.0,5063.0,33881,434061,monterey
27066,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-13,329.0,4238.0,5063.0,34857,434061,monterey
27067,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-15,279.0,4238.0,5063.0,35613,434061,monterey
27068,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-17,351.0,4238.0,5063.0,36571,434061,monterey
27069,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-18,360.0,4238.0,5063.0,36805,434061,monterey
27070,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-20,303.0,4246.0,5063.0,37258,434061,monterey
27071,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-22,215.0,4246.0,5063.0,38241,434061,monterey
27072,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-25,214.0,4246.0,5063.0,39102,434061,monterey
27073,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-27,196.0,4237.0,5063.0,39557,434061,monterey
27074,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-29,131.0,4237.0,5063.0,39994,434061,monterey
27075,115.0,CORRECTIONAL TRAINING FACILITY,2021-01-31,128.0,4237.0,5063.0,40502,434061,monterey
27076,115.0,CORRECTIONAL TRAINING FACILITY,2021-02-01,128.0,4237.0,5063.0,40691,434061,monterey
