,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,230
26674,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-10,229.0,1917.0,2773.0,73245
26675,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-12,200.0,1898.0,2773.0,74383
26676,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-14,208.0,1898.0,2773.0,75985
26677,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-16,232.0,1898.0,2773.0,77626
26678,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-18,177.0,1885.0,2773.0,79077
26679,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-20,175.0,1885.0,2773.0,81125
26680,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-22,89.0,1885.0,2773.0,83194
26681,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-23,89.0,1885.0,2773.0,83867
26682,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-24,77.0,1885.0,2773.0,85439
26683,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-26,72.0,1882.0,2773.0,87683
26684,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-29,70.0,1882.0,2773.0,89694
26685,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-30,70.0,1882.0,2773.0,90189
26686,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-02,12.0,1880.0,2773.0,92879
26687,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-04,10.0,1880.0,2773.0,98408
26688,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-06,9.0,1880.0,2773.0,103593
26689,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-07,9.0,1880.0,2773.0,106103
26690,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-09,6.0,1871.0,2773.0,114497
26691,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-13,6.0,1871.0,2773.0,124753
26692,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-14,6.0,1871.0,2773.0,129055
26693,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-16,5.0,1862.0,2773.0,141649
26694,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-18,4.0,1862.0,2773.0,148754
26695,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-21,4.0,1862.0,2773.0,158911
26696,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-22,4.0,1862.0,2773.0,162601
26697,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-23,2.0,1857.0,2773.0,165934
26698,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-25,2.0,1857.0,2773.0,174721
26699,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-27,2.0,1857.0,2773.0,180520
26700,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-28,2.0,1857.0,2773.0,182872
26701,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-29,2.0,1857.0,2773.0,186775
26702,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-30,2.0,1852.0,2773.0,185819
26703,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-01,0.0,1852.0,2773.0,198427
26704,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-03,0.0,1852.0,2773.0,205311
26705,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-04,0.0,1852.0,2773.0,207352
26706,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-05,0.0,1852.0,2773.0,211197
26707,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-06,0.0,1845.0,2773.0,214675
26708,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-08,0.0,1845.0,2773.0,223492
