,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County
28449,129.0,IRONWOOD STATE PRISON,2020-11-10,1.0,2875.0,2896.0,73245,2470546,riverside
28450,129.0,IRONWOOD STATE PRISON,2020-11-12,3.0,2859.0,2896.0,74383,2470546,riverside
28451,129.0,IRONWOOD STATE PRISON,2020-11-14,4.0,2859.0,2896.0,75985,2470546,riverside
28452,129.0,IRONWOOD STATE PRISON,2020-11-16,4.0,2859.0,2896.0,77626,2470546,riverside
28453,129.0,IRONWOOD STATE PRISON,2020-11-18,4.0,2846.0,2896.0,79077,2470546,riverside
28454,129.0,IRONWOOD STATE PRISON,2020-11-20,4.0,2846.0,2896.0,81125,2470546,riverside
28455,129.0,IRONWOOD STATE PRISON,2020-11-22,4.0,2846.0,2896.0,83194,2470546,riverside
28456,129.0,IRONWOOD STATE PRISON,2020-11-23,4.0,2846.0,2896.0,83867,2470546,riverside
28457,129.0,IRONWOOD STATE PRISON,2020-11-24,3.0,2846.0,2896.0,85439,2470546,riverside
28458,129.0,IRONWOOD STATE PRISON,2020-11-26,2.0,2829.0,2896.0,87683,2470546,riverside
28459,129.0,IRONWOOD STATE PRISON,2020-11-29,2.0,2829.0,2896.0,89694,2470546,riverside
28460,129.0,IRONWOOD STATE PRISON,2020-11-30,2.0,2829.0,2896.0,90189,2470546,riverside
28461,129.0,IRONWOOD STATE PRISON,2020-12-02,0.0,2824.0,2896.0,92879,2470546,riverside
28462,129.0,IRONWOOD STATE PRISON,2020-12-04,0.0,2824.0,2896.0,98408,2470546,riverside
28463,129.0,IRONWOOD STATE PRISON,2020-12-06,8.0,2824.0,2896.0,103593,2470546,riverside
28464,129.0,IRONWOOD STATE PRISON,2020-12-07,12.0,2824.0,2896.0,106103,2470546,riverside
28465,129.0,IRONWOOD STATE PRISON,2020-12-09,14.0,2811.0,2896.0,114497,2470546,riverside
28466,129.0,IRONWOOD STATE PRISON,2020-12-13,118.0,2811.0,2896.0,124753,2470546,riverside
28467,129.0,IRONWOOD STATE PRISON,2020-12-14,120.0,2811.0,2896.0,129055,2470546,riverside
28468,129.0,IRONWOOD STATE PRISON,2020-12-16,122.0,2797.0,2896.0,141649,2470546,riverside
28469,129.0,IRONWOOD STATE PRISON,2020-12-18,188.0,2797.0,2896.0,148754,2470546,riverside
28470,129.0,IRONWOOD STATE PRISON,2020-12-21,269.0,2797.0,2896.0,158911,2470546,riverside
28471,129.0,IRONWOOD STATE PRISON,2020-12-22,271.0,2797.0,2896.0,162601,2470546,riverside
28472,129.0,IRONWOOD STATE PRISON,2020-12-23,271.0,2781.0,2896.0,165934,2470546,riverside
28473,129.0,IRONWOOD STATE PRISON,2020-12-25,460.0,2781.0,2896.0,174721,2470546,riverside
28474,129.0,IRONWOOD STATE PRISON,2020-12-27,585.0,2781.0,2896.0,180520,2470546,riverside
28475,129.0,IRONWOOD STATE PRISON,2020-12-28,585.0,2781.0,2896.0,182872,2470546,riverside
28476,129.0,IRONWOOD STATE PRISON,2020-12-29,588.0,2781.0,2896.0,186775,2470546,riverside
28477,129.0,IRONWOOD STATE PRISON,2020-12-30,646.0,2778.0,2896.0,185819,2470546,riverside
28478,129.0,IRONWOOD STATE PRISON,2021-01-01,739.0,2778.0,2896.0,198427,2470546,riverside
28479,129.0,IRONWOOD STATE PRISON,2021-01-03,743.0,2778.0,2896.0,205311,2470546,riverside
28480,129.0,IRONWOOD STATE PRISON,2021-01-04,744.0,2778.0,2896.0,207352,2470546,riverside
28481,129.0,IRONWOOD STATE PRISON,2021-01-05,555.0,2778.0,2896.0,211197,2470546,riverside
28482,129.0,IRONWOOD STATE PRISON,2021-01-06,543.0,2771.0,2896.0,214675,2470546,riverside
28483,129.0,IRONWOOD STATE PRISON,2021-01-08,371.0,2771.0,2896.0,223492,2470546,riverside
28485,129.0,IRONWOOD STATE PRISON,2021-01-11,259.0,2771.0,2896.0,234756,2470546,riverside
28486,129.0,IRONWOOD STATE PRISON,2021-01-13,209.0,2767.0,2896.0,240343,2470546,riverside
28487,129.0,IRONWOOD STATE PRISON,2021-01-15,158.0,2767.0,2896.0,247615,2470546,riverside
28488,129.0,IRONWOOD STATE PRISON,2021-01-17,181.0,2767.0,2896.0,254787,2470546,riverside
28489,129.0,IRONWOOD STATE PRISON,2021-01-18,183.0,2767.0,2896.0,256857,2470546,riverside
28490,129.0,IRONWOOD STATE PRISON,2021-01-20,180.0,2755.0,2896.0,261563,2470546,riverside
28491,129.0,IRONWOOD STATE PRISON,2021-01-22,183.0,2755.0,2896.0,265487,2470546,riverside
28492,129.0,IRONWOOD STATE PRISON,2021-01-25,162.0,2755.0,2896.0,271332,2470546,riverside
28493,129.0,IRONWOOD STATE PRISON,2021-01-27,118.0,2752.0,2896.0,274163,2470546,riverside
28494,129.0,IRONWOOD STATE PRISON,2021-01-29,297.0,2752.0,2896.0,276974,2470546,riverside
28495,129.0,IRONWOOD STATE PRISON,2021-01-31,309.0,2752.0,2896.0,279683,2470546,riverside
28496,129.0,IRONWOOD STATE PRISON,2021-02-01,312.0,2752.0,2896.0,280611,2470546,riverside
