,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County
21946,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-10,15.0,2249.0,3802.0,73245,2470546,riverside
21947,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-12,16.0,2225.0,3802.0,74383,2470546,riverside
21948,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-14,15.0,2225.0,3802.0,75985,2470546,riverside
21949,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-16,15.0,2225.0,3802.0,77626,2470546,riverside
21950,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-18,8.0,2190.0,3802.0,79077,2470546,riverside
21951,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-20,9.0,2190.0,3802.0,81125,2470546,riverside
21952,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-22,5.0,2190.0,3802.0,83194,2470546,riverside
21953,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-23,5.0,2190.0,3802.0,83867,2470546,riverside
21954,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-24,5.0,2190.0,3802.0,85439,2470546,riverside
21955,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-26,2.0,2170.0,3802.0,87683,2470546,riverside
21956,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-29,1.0,2170.0,3802.0,89694,2470546,riverside
21957,96.0,CALIFORNIA REHABILITATION CENTER,2020-11-30,1.0,2170.0,3802.0,90189,2470546,riverside
21958,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-02,1.0,2142.0,3802.0,92879,2470546,riverside
21959,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-04,1.0,2142.0,3802.0,98408,2470546,riverside
21960,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-06,6.0,2142.0,3802.0,103593,2470546,riverside
21961,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-07,8.0,2142.0,3802.0,106103,2470546,riverside
21962,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-09,12.0,2123.0,3802.0,114497,2470546,riverside
21963,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-13,49.0,2123.0,3802.0,124753,2470546,riverside
21964,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-14,50.0,2123.0,3802.0,129055,2470546,riverside
21965,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-16,55.0,2106.0,3802.0,141649,2470546,riverside
21966,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-18,68.0,2106.0,3802.0,148754,2470546,riverside
21967,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-21,101.0,2106.0,3802.0,158911,2470546,riverside
21968,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-22,101.0,2106.0,3802.0,162601,2470546,riverside
21969,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-23,89.0,2081.0,3802.0,165934,2470546,riverside
21970,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-25,110.0,2081.0,3802.0,174721,2470546,riverside
21971,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-27,115.0,2081.0,3802.0,180520,2470546,riverside
21972,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-28,126.0,2081.0,3802.0,182872,2470546,riverside
21973,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-29,104.0,2081.0,3802.0,186775,2470546,riverside
21974,96.0,CALIFORNIA REHABILITATION CENTER,2020-12-30,94.0,2064.0,3802.0,185819,2470546,riverside
21975,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-01,96.0,2064.0,3802.0,198427,2470546,riverside
21976,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-03,158.0,2064.0,3802.0,205311,2470546,riverside
21977,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-04,105.0,2064.0,3802.0,207352,2470546,riverside
21978,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-05,108.0,2064.0,3802.0,211197,2470546,riverside
21979,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-06,113.0,2047.0,3802.0,214675,2470546,riverside
21980,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-08,95.0,2047.0,3802.0,223492,2470546,riverside
21982,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-11,101.0,2047.0,3802.0,234756,2470546,riverside
21983,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-13,78.0,2025.0,3802.0,240343,2470546,riverside
21984,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-15,52.0,2025.0,3802.0,247615,2470546,riverside
21985,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-17,60.0,2025.0,3802.0,254787,2470546,riverside
21986,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-18,60.0,2025.0,3802.0,256857,2470546,riverside
21987,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-20,39.0,2010.0,3802.0,261563,2470546,riverside
21988,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-22,52.0,2010.0,3802.0,265487,2470546,riverside
21989,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-25,52.0,2010.0,3802.0,271332,2470546,riverside
21990,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-27,32.0,1994.0,3802.0,274163,2470546,riverside
21991,96.0,CALIFORNIA REHABILITATION CENTER,2021-01-29,32.0,1994.0,3802.0,276974,2470546,riverside
