,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,231
23011,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-10,1.0,2246.0,2354.0,28719
23012,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-12,1.0,2254.0,2354.0,29506
23013,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-14,1.0,2254.0,2354.0,30357
23014,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-16,1.0,2254.0,2354.0,31018
23015,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-18,1.0,2251.0,2354.0,31891
23016,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-20,0.0,2251.0,2354.0,32917
23017,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-22,0.0,2251.0,2354.0,33524
23018,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-23,0.0,2251.0,2354.0,34257
23019,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-24,0.0,2251.0,2354.0,35221
23020,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-26,2.0,2253.0,2354.0,35988
23021,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-29,2.0,2253.0,2354.0,37565
23022,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-11-30,8.0,2253.0,2354.0,37992
23023,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-02,30.0,2244.0,2354.0,39505
23024,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-04,34.0,2244.0,2354.0,41256
23025,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-06,77.0,2244.0,2354.0,43035
23026,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-07,105.0,2244.0,2354.0,43661
23027,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-09,108.0,2238.0,2354.0,45562
23028,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-13,138.0,2238.0,2354.0,49830
23029,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-14,117.0,2238.0,2354.0,50685
23030,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-16,117.0,2230.0,2354.0,52586
23031,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-18,133.0,2230.0,2354.0,54449
23032,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-21,101.0,2230.0,2354.0,57585
23033,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-22,70.0,2230.0,2354.0,58504
23034,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-23,68.0,2230.0,2354.0,60219
23035,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-25,60.0,2230.0,2354.0,62205
23036,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-27,65.0,2230.0,2354.0,64028
23037,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-28,59.0,2230.0,2354.0,64960
23038,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-29,60.0,2230.0,2354.0,65741
23039,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2020-12-30,59.0,2226.0,2354.0,64797
23040,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-01,68.0,2226.0,2354.0,67664
23041,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-03,80.0,2226.0,2354.0,69299
23042,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-04,69.0,2226.0,2354.0,70926
23043,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-05,58.0,2226.0,2354.0,71449
23044,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-06,59.0,2221.0,2354.0,72372
23045,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-08,67.0,2221.0,2354.0,74083
23047,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-11,54.0,2221.0,2354.0,76888
23048,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-13,40.0,2229.0,2354.0,79173
23049,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-15,38.0,2229.0,2354.0,81216
23050,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-17,43.0,2229.0,2354.0,81117
23051,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-18,32.0,2229.0,2354.0,81523
23052,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-20,26.0,2231.0,2354.0,82700
23053,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-22,26.0,2231.0,2354.0,83905
23054,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-25,29.0,2231.0,2354.0,85715
23055,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-27,23.0,2230.0,2354.0,86505
23056,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-29,26.0,2230.0,2354.0,87419
23057,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-01-31,22.0,2230.0,2354.0,87669
23058,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-01,21.0,2230.0,2354.0,87981
23060,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-05,19.0,2242.0,2354.0,89157
23061,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-07,10.0,2242.0,2354.0,90100
23062,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-08,10.0,2242.0,2354.0,90457
23063,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-10,10.0,2257.0,2354.0,90849
23064,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-12,6.0,2257.0,2354.0,91459
23065,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-14,1.0,2257.0,2354.0,92067
23066,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-15,1.0,2257.0,2354.0,92306
23067,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-17,1.0,2242.0,2354.0,92536
23068,99.0,CALIFORNIA STATE PRISON SACRAMENTO,2021-02-19,1.0,2242.0,2354.0,93055
