,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,233
20881,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-10,1.0,1126.0,1619.0,70139
20882,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-12,0.0,1126.0,1619.0,71295
20883,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-14,0.0,1126.0,1619.0,73466
20884,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-16,0.0,1126.0,1619.0,75114
20885,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-18,0.0,1104.0,1619.0,78277
20886,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-20,0.0,1104.0,1619.0,82247
20887,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-22,0.0,1104.0,1619.0,84714
20888,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-23,0.0,1104.0,1619.0,85671
20889,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-24,0.0,1104.0,1619.0,87993
20890,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-26,1.0,1099.0,1619.0,91212
20891,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-29,1.0,1099.0,1619.0,93822
20892,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-11-30,1.0,1099.0,1619.0,94579
20893,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-02,1.0,1091.0,1619.0,100691
20894,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-04,2.0,1091.0,1619.0,104749
20895,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-06,7.0,1091.0,1619.0,109508
20896,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-07,38.0,1091.0,1619.0,110906
20897,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-09,37.0,1089.0,1619.0,117518
20898,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-13,46.0,1089.0,1619.0,130351
20899,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-14,73.0,1089.0,1619.0,132954
20900,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-16,74.0,1078.0,1619.0,147669
20901,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-18,63.0,1078.0,1619.0,158641
20902,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-21,46.0,1078.0,1619.0,169867
20903,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-22,46.0,1078.0,1619.0,174221
20904,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-23,46.0,1071.0,1619.0,177997
20905,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-25,45.0,1071.0,1619.0,187025
20906,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-27,41.0,1071.0,1619.0,192198
20907,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-28,41.0,1071.0,1619.0,194488
20908,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-29,19.0,1071.0,1619.0,196167
20909,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2020-12-30,19.0,1067.0,1619.0,198479
20910,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2021-01-01,19.0,1067.0,1619.0,209644
20911,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2021-01-03,15.0,1067.0,1619.0,214560
20912,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2021-01-04,2.0,1067.0,1619.0,217314
20913,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2021-01-05,0.0,1067.0,1619.0,219133
20914,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2021-01-06,0.0,1062.0,1619.0,222014
20915,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2021-01-08,1.0,1062.0,1619.0,231195
20917,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2021-01-11,2.0,1062.0,1619.0,242718
20918,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2021-01-13,2.0,1054.0,1619.0,247543
20919,93.0,CALIFORNIA INSTITUTION FOR WOMEN,2021-01-15,3.0,1054.0,1619.0,253686
