,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,236
27384,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-10,0.0,1440.0,2052.0,23207
27385,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-12,0.0,1413.0,2052.0,23357
27386,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-14,1.0,1413.0,2052.0,23899
27387,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-16,1.0,1413.0,2052.0,23922
27388,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-18,2.0,1395.0,2052.0,24582
27389,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-20,2.0,1395.0,2052.0,24923
27390,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-22,3.0,1395.0,2052.0,25112
27391,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-23,3.0,1395.0,2052.0,25128
27392,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-24,3.0,1395.0,2052.0,25828
27393,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-26,3.0,1382.0,2052.0,26292
27394,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-29,4.0,1382.0,2052.0,26344
27395,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-30,6.0,1382.0,2052.0,26352
27396,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-02,6.0,1370.0,2052.0,27399
27397,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-04,7.0,1370.0,2052.0,28538
27398,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-06,12.0,1370.0,2052.0,28993
27399,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-07,12.0,1370.0,2052.0,29021
27400,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-09,19.0,1364.0,2052.0,31432
27401,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-13,25.0,1364.0,2052.0,33182
27402,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-14,25.0,1364.0,2052.0,33576
27403,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-16,26.0,1351.0,2052.0,36150
27404,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-18,29.0,1351.0,2052.0,37702
27405,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-21,88.0,1351.0,2052.0,40183
27406,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-22,74.0,1351.0,2052.0,40848
27407,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-23,74.0,1339.0,2052.0,37137
27408,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-25,74.0,1339.0,2052.0,43623
27409,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-27,78.0,1339.0,2052.0,45171
27410,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-28,67.0,1339.0,2052.0,45867
27411,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-29,66.0,1339.0,2052.0,46426
27412,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-30,92.0,1331.0,2052.0,46248
27413,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-01,66.0,1331.0,2052.0,48507
27414,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-03,64.0,1331.0,2052.0,49846
27415,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-04,46.0,1331.0,2052.0,50654
27416,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-05,45.0,1331.0,2052.0,51021
27417,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-06,68.0,1323.0,2052.0,51381
27418,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-08,86.0,1323.0,2052.0,53160
27420,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-11,102.0,1323.0,2052.0,55257
27421,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-13,81.0,1300.0,2052.0,56689
27422,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-15,118.0,1300.0,2052.0,58248
27423,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-17,124.0,1300.0,2052.0,59505
27424,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-18,127.0,1300.0,2052.0,59832
27425,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-20,76.0,1287.0,2052.0,60490
27426,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-22,95.0,1287.0,2052.0,60980
27427,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-25,102.0,1287.0,2052.0,61827
27428,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-27,54.0,1264.0,2052.0,62714
27429,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-29,86.0,1264.0,2052.0,63522
27430,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-31,84.0,1264.0,2052.0,64027
27431,116.0,DEUEL VOCATIONAL INSTITUTION,2021-02-01,82.0,1264.0,2052.0,64200
27433,116.0,DEUEL VOCATIONAL INSTITUTION,2021-02-05,139.0,1244.0,2052.0,65268
27434,116.0,DEUEL VOCATIONAL INSTITUTION,2021-02-07,134.0,1244.0,2052.0,65775
