,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County
21591,95.0,CALIFORNIA MENS COLONY,2020-11-10,1.0,3113.0,3758.0,4844,283111,san luis obispo
21592,95.0,CALIFORNIA MENS COLONY,2020-11-12,1.0,3123.0,3758.0,4969,283111,san luis obispo
21593,95.0,CALIFORNIA MENS COLONY,2020-11-14,1.0,3123.0,3758.0,5148,283111,san luis obispo
21594,95.0,CALIFORNIA MENS COLONY,2020-11-16,1.0,3123.0,3758.0,5245,283111,san luis obispo
21595,95.0,CALIFORNIA MENS COLONY,2020-11-18,1.0,3151.0,3758.0,5411,283111,san luis obispo
21596,95.0,CALIFORNIA MENS COLONY,2020-11-20,2.0,3151.0,3758.0,5617,283111,san luis obispo
21597,95.0,CALIFORNIA MENS COLONY,2020-11-22,2.0,3151.0,3758.0,5763,283111,san luis obispo
21598,95.0,CALIFORNIA MENS COLONY,2020-11-23,2.0,3151.0,3758.0,5872,283111,san luis obispo
21599,95.0,CALIFORNIA MENS COLONY,2020-11-24,2.0,3151.0,3758.0,5907,283111,san luis obispo
21600,95.0,CALIFORNIA MENS COLONY,2020-11-26,2.0,3142.0,3758.0,6068,283111,san luis obispo
21601,95.0,CALIFORNIA MENS COLONY,2020-11-29,2.0,3142.0,3758.0,6259,283111,san luis obispo
21602,95.0,CALIFORNIA MENS COLONY,2020-11-30,2.0,3142.0,3758.0,6338,283111,san luis obispo
21603,95.0,CALIFORNIA MENS COLONY,2020-12-02,2.0,3131.0,3758.0,6445,283111,san luis obispo
21604,95.0,CALIFORNIA MENS COLONY,2020-12-04,5.0,3131.0,3758.0,6598,283111,san luis obispo
21605,95.0,CALIFORNIA MENS COLONY,2020-12-06,12.0,3131.0,3758.0,6854,283111,san luis obispo
21606,95.0,CALIFORNIA MENS COLONY,2020-12-07,32.0,3131.0,3758.0,6917,283111,san luis obispo
21607,95.0,CALIFORNIA MENS COLONY,2020-12-09,61.0,3115.0,3758.0,7258,283111,san luis obispo
21608,95.0,CALIFORNIA MENS COLONY,2020-12-13,179.0,3115.0,3758.0,7809,283111,san luis obispo
21609,95.0,CALIFORNIA MENS COLONY,2020-12-14,180.0,3115.0,3758.0,7983,283111,san luis obispo
21610,95.0,CALIFORNIA MENS COLONY,2020-12-16,182.0,3104.0,3758.0,8453,283111,san luis obispo
21611,95.0,CALIFORNIA MENS COLONY,2020-12-18,284.0,3104.0,3758.0,8810,283111,san luis obispo
