,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,245
21236,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-10,0.0,2041.0,2512.0,8319
21237,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-12,0.0,2040.0,2512.0,8440
21238,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-14,0.0,2040.0,2512.0,8679
21239,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-16,0.0,2040.0,2512.0,8855
21240,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-18,0.0,2050.0,2512.0,9023
21241,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-20,0.0,2050.0,2512.0,9251
21242,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-22,0.0,2050.0,2512.0,9405
21243,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-23,0.0,2050.0,2512.0,9440
21244,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-24,0.0,2050.0,2512.0,9765
21245,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-26,1.0,2051.0,2512.0,9992
21246,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-29,1.0,2051.0,2512.0,10451
21247,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-30,4.0,2051.0,2512.0,10454
21248,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-02,4.0,2043.0,2512.0,10774
21249,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-04,4.0,2043.0,2512.0,11118
21250,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-06,4.0,2043.0,2512.0,11440
21251,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-07,2.0,2043.0,2512.0,11450
21252,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-09,2.0,2038.0,2512.0,11964
21253,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-13,8.0,2038.0,2512.0,13404
21254,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-14,8.0,2038.0,2512.0,13483
21255,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-16,36.0,2034.0,2512.0,14290
21256,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-18,67.0,2034.0,2512.0,14807
21257,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-21,157.0,2034.0,2512.0,16037
21258,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-22,165.0,2034.0,2512.0,16393
21259,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-23,190.0,2021.0,2512.0,16793
21260,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-25,249.0,2021.0,2512.0,17457
21261,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-27,266.0,2021.0,2512.0,18019
21262,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-28,269.0,2021.0,2512.0,18356
21263,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-29,279.0,2021.0,2512.0,18603
21264,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-30,313.0,2012.0,2512.0,18496
21265,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-01,399.0,2012.0,2512.0,19593
21266,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-03,438.0,2012.0,2512.0,20317
21267,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-04,446.0,2012.0,2512.0,20805
21268,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-05,450.0,2012.0,2512.0,21084
21269,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-06,432.0,1994.0,2512.0,21331
21270,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-08,367.0,1994.0,2512.0,22068
21272,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-11,333.0,1994.0,2512.0,23133
21273,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-13,263.0,1986.0,2512.0,23753
21274,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-15,271.0,1986.0,2512.0,24477
21275,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-17,260.0,1986.0,2512.0,25481
21276,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-18,247.0,1986.0,2512.0,25611
21277,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-20,145.0,1976.0,2512.0,25931
21278,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-22,122.0,1976.0,2512.0,26328
21279,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-25,121.0,1976.0,2512.0,26936
21280,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-27,38.0,1973.0,2512.0,27277
21281,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-29,32.0,1973.0,2512.0,27655
21282,94.0,CALIFORNIA MEDICAL FACILITY,2021-01-31,35.0,1973.0,2512.0,27986
21283,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-01,35.0,1973.0,2512.0,28152
21285,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-05,24.0,1963.0,2512.0,28597
21286,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-07,23.0,1963.0,2512.0,28882
21287,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-08,25.0,1963.0,2512.0,28960
21288,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-10,22.0,1954.0,2512.0,29157
21289,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-12,19.0,1954.0,2512.0,29320
21290,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-14,18.0,1954.0,2512.0,29477
21291,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-15,18.0,1954.0,2512.0,29556
21292,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-17,12.0,1934.0,2512.0,29620
21293,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-19,11.0,1934.0,2512.0,29716
21294,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-22,7.0,1934.0,2512.0,29845
21295,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-23,5.0,1934.0,2512.0,29883
21296,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-24,4.0,1920.0,2512.0,29918
21297,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-26,2.0,1920.0,2512.0,29995
21298,94.0,CALIFORNIA MEDICAL FACILITY,2021-02-28,0.0,1920.0,2512.0,30104
21299,94.0,CALIFORNIA MEDICAL FACILITY,2021-03-01,0.0,1920.0,2512.0,30130
21300,94.0,CALIFORNIA MEDICAL FACILITY,2021-03-03,0.0,1920.0,2512.0,30220
21301,94.0,CALIFORNIA MEDICAL FACILITY,2021-03-05,0.0,1919.0,2512.0,30307
