,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County
33402,158.0,SIERRA CONSERVATION CENTER,2020-11-10,1.0,3065.0,4393.0,355,54478,tuolumne
33403,158.0,SIERRA CONSERVATION CENTER,2020-11-12,1.0,3073.0,4393.0,355,54478,tuolumne
33404,158.0,SIERRA CONSERVATION CENTER,2020-11-14,1.0,3073.0,4393.0,450,54478,tuolumne
33405,158.0,SIERRA CONSERVATION CENTER,2020-11-16,1.0,3073.0,4393.0,545,54478,tuolumne
33406,158.0,SIERRA CONSERVATION CENTER,2020-11-18,1.0,3075.0,4393.0,592,54478,tuolumne
33407,158.0,SIERRA CONSERVATION CENTER,2020-11-20,1.0,3075.0,4393.0,664,54478,tuolumne
33408,158.0,SIERRA CONSERVATION CENTER,2020-11-22,0.0,3075.0,4393.0,691,54478,tuolumne
33409,158.0,SIERRA CONSERVATION CENTER,2020-11-23,0.0,3075.0,4393.0,776,54478,tuolumne
33410,158.0,SIERRA CONSERVATION CENTER,2020-11-24,0.0,3075.0,4393.0,834,54478,tuolumne
33411,158.0,SIERRA CONSERVATION CENTER,2020-11-26,1.0,3106.0,4393.0,873,54478,tuolumne
33412,158.0,SIERRA CONSERVATION CENTER,2020-11-29,2.0,3106.0,4393.0,990,54478,tuolumne
33413,158.0,SIERRA CONSERVATION CENTER,2020-11-30,2.0,3106.0,4393.0,1029,54478,tuolumne
33414,158.0,SIERRA CONSERVATION CENTER,2020-12-02,2.0,3073.0,4393.0,1081,54478,tuolumne
33415,158.0,SIERRA CONSERVATION CENTER,2020-12-04,2.0,3073.0,4393.0,1139,54478,tuolumne
33416,158.0,SIERRA CONSERVATION CENTER,2020-12-06,7.0,3073.0,4393.0,1215,54478,tuolumne
33417,158.0,SIERRA CONSERVATION CENTER,2020-12-07,11.0,3073.0,4393.0,1261,54478,tuolumne
33418,158.0,SIERRA CONSERVATION CENTER,2020-12-09,105.0,3052.0,4393.0,1325,54478,tuolumne
33419,158.0,SIERRA CONSERVATION CENTER,2020-12-13,202.0,3052.0,4393.0,1617,54478,tuolumne
33420,158.0,SIERRA CONSERVATION CENTER,2020-12-14,317.0,3052.0,4393.0,1653,54478,tuolumne
33421,158.0,SIERRA CONSERVATION CENTER,2020-12-16,421.0,3014.0,4393.0,1947,54478,tuolumne
33422,158.0,SIERRA CONSERVATION CENTER,2020-12-18,498.0,3014.0,4393.0,2073,54478,tuolumne
33423,158.0,SIERRA CONSERVATION CENTER,2020-12-21,845.0,3014.0,4393.0,2430,54478,tuolumne
33424,158.0,SIERRA CONSERVATION CENTER,2020-12-22,849.0,3014.0,4393.0,2535,54478,tuolumne
33425,158.0,SIERRA CONSERVATION CENTER,2020-12-23,933.0,2979.0,4393.0,2549,54478,tuolumne
33426,158.0,SIERRA CONSERVATION CENTER,2020-12-25,783.0,2979.0,4393.0,2683,54478,tuolumne
33427,158.0,SIERRA CONSERVATION CENTER,2020-12-27,837.0,2979.0,4393.0,2759,54478,tuolumne
33428,158.0,SIERRA CONSERVATION CENTER,2020-12-28,691.0,2979.0,4393.0,2788,54478,tuolumne
33429,158.0,SIERRA CONSERVATION CENTER,2020-12-29,638.0,2979.0,4393.0,2808,54478,tuolumne
33430,158.0,SIERRA CONSERVATION CENTER,2020-12-30,626.0,2938.0,4393.0,2783,54478,tuolumne
33431,158.0,SIERRA CONSERVATION CENTER,2021-01-01,589.0,2938.0,4393.0,2922,54478,tuolumne
33432,158.0,SIERRA CONSERVATION CENTER,2021-01-03,270.0,2938.0,4393.0,2993,54478,tuolumne
33433,158.0,SIERRA CONSERVATION CENTER,2021-01-04,268.0,2938.0,4393.0,3005,54478,tuolumne
33434,158.0,SIERRA CONSERVATION CENTER,2021-01-05,261.0,2938.0,4393.0,3014,54478,tuolumne
33435,158.0,SIERRA CONSERVATION CENTER,2021-01-06,212.0,2918.0,4393.0,3031,54478,tuolumne
33436,158.0,SIERRA CONSERVATION CENTER,2021-01-08,203.0,2918.0,4393.0,3123,54478,tuolumne
33438,158.0,SIERRA CONSERVATION CENTER,2021-01-11,214.0,2918.0,4393.0,3191,54478,tuolumne
