,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County,County.new,County.active
24076,102.0,CALIPATRIA STATE PRISON,2020-11-10,7.0,3001.0,3109.0,13591,181215,imperial,,0.0
24077,102.0,CALIPATRIA STATE PRISON,2020-11-12,8.0,3000.0,3109.0,13642,181215,imperial,0.00028143365615429186,0.00028143365615429186
24078,102.0,CALIPATRIA STATE PRISON,2020-11-14,39.0,3000.0,3109.0,13956,181215,imperial,0.0017327483927930911,0.002014182048947383
24079,102.0,CALIPATRIA STATE PRISON,2020-11-16,49.0,3000.0,3109.0,14136,181215,imperial,0.0009932952570151478,0.0030074773059625306
24080,102.0,CALIPATRIA STATE PRISON,2020-11-18,51.0,2989.0,3109.0,14454,181215,imperial,0.001754821620726761,0.004762298926689292
24081,102.0,CALIPATRIA STATE PRISON,2020-11-20,113.0,2989.0,3109.0,14890,181215,imperial,0.0024059818447700245,0.0071682807714593165
24082,102.0,CALIPATRIA STATE PRISON,2020-11-22,163.0,2989.0,3109.0,15139,181215,imperial,0.0013740584388709544,0.00854233921033027
24083,102.0,CALIPATRIA STATE PRISON,2020-11-23,174.0,2989.0,3109.0,15180,181215,imperial,0.000226250586320117,0.008768589796650388
24084,102.0,CALIPATRIA STATE PRISON,2020-11-24,175.0,2989.0,3109.0,15682,181215,imperial,0.0027701901056755786,0.011538779902325966
24085,102.0,CALIPATRIA STATE PRISON,2020-11-26,201.0,2970.0,3109.0,15813,181215,imperial,0.0007228982148276908,0.012261678117153658
24086,102.0,CALIPATRIA STATE PRISON,2020-11-29,221.0,2970.0,3109.0,16245,181215,imperial,0.0023839086168363547,0.014645586733990011
24087,102.0,CALIPATRIA STATE PRISON,2020-11-30,206.0,2970.0,3109.0,16348,181215,imperial,0.0005683856192920012,0.015213972353282012
24088,102.0,CALIPATRIA STATE PRISON,2020-12-02,164.0,2959.0,3109.0,16524,181215,imperial,0.0009712220290814778,0.01618519438236349
24089,102.0,CALIPATRIA STATE PRISON,2020-12-04,173.0,2959.0,3109.0,16668,181215,imperial,0.0007946362056121182,0.01697983058797561
24090,102.0,CALIPATRIA STATE PRISON,2020-12-06,183.0,2959.0,3109.0,17108,181215,imperial,0.0024280550727036943,0.019407885660679303
24091,102.0,CALIPATRIA STATE PRISON,2020-12-07,191.0,2959.0,3109.0,17430,181215,imperial,0.001776894848660431,0.020903346853185442
24092,102.0,CALIPATRIA STATE PRISON,2020-12-09,194.0,2952.0,3109.0,17974,181215,imperial,0.0030019589989791133,0.022172557459371463
24093,102.0,CALIPATRIA STATE PRISON,2020-12-13,244.0,2952.0,3109.0,19915,181215,imperial,0.010711033854813343,0.03189029605716966
24094,102.0,CALIPATRIA STATE PRISON,2020-12-14,246.0,2952.0,3109.0,20191,181215,imperial,0.0015230527274232265,0.03165852716386613
24095,102.0,CALIPATRIA STATE PRISON,2020-12-16,223.0,2948.0,3109.0,20727,181215,imperial,0.002957812543111773,0.032210357862207877
24096,102.0,CALIPATRIA STATE PRISON,2020-12-18,243.0,2948.0,3109.0,21326,181215,imperial,0.003305465883067075,0.034141765306404
24097,102.0,CALIPATRIA STATE PRISON,2020-12-21,278.0,2948.0,3109.0,22095,181215,imperial,0.004243578070248048,0.038159092790331924
24098,102.0,CALIPATRIA STATE PRISON,2020-12-22,229.0,2948.0,3109.0,22273,181215,imperial,0.0009822586430483127,0.03637116132770466
24099,102.0,CALIPATRIA STATE PRISON,2020-12-23,218.0,2936.0,3109.0,22512,181215,imperial,0.0013188753690367796,0.03696713848191375
24100,102.0,CALIPATRIA STATE PRISON,2020-12-25,223.0,2936.0,3109.0,22874,181215,imperial,0.0019976271279971303,0.03658085699307453
24101,102.0,CALIPATRIA STATE PRISON,2020-12-27,344.0,2936.0,3109.0,23227,181215,imperial,0.0019479623651463731,0.0379604337389289
24102,102.0,CALIPATRIA STATE PRISON,2020-12-28,346.0,2936.0,3109.0,23415,181215,imperial,0.0010374417128824877,0.03802665342272991
24103,102.0,CALIPATRIA STATE PRISON,2020-12-29,348.0,2936.0,3109.0,23594,181215,imperial,0.0009877769500317303,0.03821979416714952
24104,102.0,CALIPATRIA STATE PRISON,2020-12-30,322.0,2926.0,3109.0,23677,181215,imperial,0.00045801947962365144,0.03624975857406947
24105,102.0,CALIPATRIA STATE PRISON,2021-01-01,385.0,2926.0,3109.0,24388,181215,imperial,0.003923516265209833,0.03839637999061888
24106,102.0,CALIPATRIA STATE PRISON,2021-01-03,415.0,2926.0,3109.0,24716,181215,imperial,0.001810004690560936,0.0372044256822007
24107,102.0,CALIPATRIA STATE PRISON,2021-01-04,427.0,2926.0,3109.0,24886,181215,imperial,0.0009381121871809729,0.02743150401456833
24108,102.0,CALIPATRIA STATE PRISON,2021-01-05,403.0,2926.0,3109.0,25071,181215,imperial,0.0010208867919322352,0.02692933807907734
24109,102.0,CALIPATRIA STATE PRISON,2021-01-06,349.0,2919.0,3109.0,25354,181215,imperial,0.001561680876307149,0.025533206412272715
24110,102.0,CALIPATRIA STATE PRISON,2021-01-08,257.0,2919.0,3109.0,25799,181215,imperial,0.002455646607620782,0.024683387136826423
