,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County,County.new,County.active
34601,171.0,WASCO STATE PRISON,2020-11-10,16.0,2187.0,4588.0,35610,900202,kern,,0.0
34602,171.0,WASCO STATE PRISON,2020-11-12,17.0,2302.0,4588.0,36069,900202,kern,0.0005098855590189757,0.0005098855590189757
34603,171.0,WASCO STATE PRISON,2020-11-14,16.0,2302.0,4588.0,36470,900202,kern,0.00044545557552638185,0.0009553411345453576
34604,171.0,WASCO STATE PRISON,2020-11-16,15.0,2302.0,4588.0,36919,900202,kern,0.0004987769411754251,0.0014541180757207826
34605,171.0,WASCO STATE PRISON,2020-11-18,18.0,2530.0,4588.0,37323,900202,kern,0.00044878816087944707,0.0019029062366002296
34606,171.0,WASCO STATE PRISON,2020-11-20,23.0,2530.0,4588.0,37982,900202,kern,0.0007320579158899891,0.002634964152490219
34607,171.0,WASCO STATE PRISON,2020-11-22,23.0,2530.0,4588.0,38519,900202,kern,0.000596532778198671,0.00323149693068889
34608,171.0,WASCO STATE PRISON,2020-11-23,23.0,2530.0,4588.0,39437,900202,kern,0.0010197711180379514,0.004251268048726841
34609,171.0,WASCO STATE PRISON,2020-11-24,24.0,2530.0,4588.0,39721,900202,kern,0.000315484746756839,0.00456675279548368
34610,171.0,WASCO STATE PRISON,2020-11-26,11.0,2695.0,4588.0,40337,900202,kern,0.0006842908591627213,0.005251043654646402
34611,171.0,WASCO STATE PRISON,2020-11-29,15.0,2695.0,4588.0,41827,900202,kern,0.0016551840586890498,0.0069062277133354515
34612,171.0,WASCO STATE PRISON,2020-11-30,15.0,2695.0,4588.0,41957,900202,kern,0.0001444120319661587,0.00705063974530161
34613,171.0,WASCO STATE PRISON,2020-12-02,9.0,2662.0,4588.0,42937,900202,kern,0.0010886445486679656,0.008139284293969576
34614,171.0,WASCO STATE PRISON,2020-12-04,9.0,2662.0,4588.0,43860,900202,kern,0.0010253254269597268,0.009164609720929303
34615,171.0,WASCO STATE PRISON,2020-12-06,14.0,2662.0,4588.0,45078,900202,kern,0.0013530296533444716,0.010517639374273774
34616,171.0,WASCO STATE PRISON,2020-12-07,20.0,2662.0,4588.0,45342,900202,kern,0.0002932675110697377,0.010301021326324536
34617,171.0,WASCO STATE PRISON,2020-12-09,34.0,2603.0,4588.0,47411,900202,kern,0.0022983730318306334,0.012153938782628788
34618,171.0,WASCO STATE PRISON,2020-12-13,228.0,2603.0,4588.0,50624,900202,kern,0.00356919891313283,0.015224360754586193
34619,171.0,WASCO STATE PRISON,2020-12-14,339.0,2603.0,4588.0,51612,900202,kern,0.0010975314429428062,0.01587310403664955
34620,171.0,WASCO STATE PRISON,2020-12-16,410.0,2572.0,4588.0,54681,900202,kern,0.0034092348161857008,0.018550280936945263
34621,171.0,WASCO STATE PRISON,2020-12-18,421.0,2572.0,4588.0,56687,900202,kern,0.0022283887394162643,0.020182136898162856
34622,171.0,WASCO STATE PRISON,2020-12-21,544.0,2572.0,4588.0,59148,900202,kern,0.00273383085129782,0.021896196631422726
34623,171.0,WASCO STATE PRISON,2020-12-22,536.0,2572.0,4588.0,60260,900202,kern,0.0012352783042028344,0.02281599018886872
34624,171.0,WASCO STATE PRISON,2020-12-23,545.0,2544.0,4588.0,61324,900202,kern,0.0011819569385537912,0.02331365626825979
34625,171.0,WASCO STATE PRISON,2020-12-25,564.0,2544.0,4588.0,63044,900202,kern,0.0019106822690907151,0.023569154478661456
34626,171.0,WASCO STATE PRISON,2020-12-27,415.0,2544.0,4588.0,64810,900202,kern,0.0019617819111710484,0.025386524357866345
34627,171.0,WASCO STATE PRISON,2020-12-28,414.0,2544.0,4588.0,66526,900202,kern,0.001906238821953295,0.026204118631151675
34628,171.0,WASCO STATE PRISON,2020-12-29,362.0,2544.0,4588.0,67292,900202,kern,0.0008509201268159813,0.02602971333100793
34629,171.0,WASCO STATE PRISON,2020-12-30,353.0,2515.0,4588.0,68316,900202,kern,0.0011375224671795886,0.025814206144843047
34630,171.0,WASCO STATE PRISON,2021-01-01,361.0,2515.0,4588.0,69484,900202,kern,0.0012974865641267183,0.026818425197900026
34631,171.0,WASCO STATE PRISON,2021-01-03,278.0,2515.0,4588.0,71033,900202,kern,0.0017207249039659987,0.02624077707003539
34632,171.0,WASCO STATE PRISON,2021-01-04,278.0,2515.0,4588.0,72270,900202,kern,0.001374136027247218,0.024045714184149778
34633,171.0,WASCO STATE PRISON,2021-01-05,224.0,2515.0,4588.0,72878,900202,kern,0.0006754039648878807,0.023623586706094855
34634,171.0,WASCO STATE PRISON,2021-01-06,180.0,2498.0,4588.0,73892,900202,kern,0.0011264138493360379,0.02134076573924519
34635,171.0,WASCO STATE PRISON,2021-01-08,177.0,2498.0,4588.0,76673,900202,kern,0.0030893066222914415,0.02220168362212037
34637,171.0,WASCO STATE PRISON,2021-01-11,204.0,2498.0,4588.0,79728,900202,kern,0.00339368275120473,0.022861535522027278
34638,171.0,WASCO STATE PRISON,2021-01-13,165.0,2410.0,4588.0,81490,900202,kern,0.001957338464033628,0.023583595681858072
34639,171.0,WASCO STATE PRISON,2021-01-15,145.0,2410.0,4588.0,83547,900202,kern,0.002285042690418373,0.024686681433722654
34640,171.0,WASCO STATE PRISON,2021-01-17,146.0,2410.0,4588.0,85362,900202,kern,0.0020162141386044466,0.024792213303236384
34641,171.0,WASCO STATE PRISON,2021-01-18,145.0,2410.0,4588.0,86188,900202,kern,0.0009175718338772853,0.023748003225942622
34642,171.0,WASCO STATE PRISON,2021-01-20,125.0,2380.0,4588.0,87240,900202,kern,0.0011686265971415305,0.023010391001130857
34643,171.0,WASCO STATE PRISON,2021-01-22,99.0,2380.0,4588.0,88399,900202,kern,0.0012874888080675227,0.023446959682382397
34644,171.0,WASCO STATE PRISON,2021-01-25,72.0,2380.0,4588.0,90564,900202,kern,0.00240501576312872,0.02471445297833153
34645,171.0,WASCO STATE PRISON,2021-01-27,57.0,2342.0,4588.0,91762,900202,kern,0.0013308124176573703,0.02474777883186218
34646,171.0,WASCO STATE PRISON,2021-01-29,60.0,2342.0,4588.0,92992,900202,kern,0.0013663599947567324,0.024393413922652915
34647,171.0,WASCO STATE PRISON,2021-01-31,50.0,2342.0,4588.0,94113,900202,kern,0.00124527606026203,0.024264553955667727
34648,171.0,WASCO STATE PRISON,2021-02-01,50.0,2342.0,4588.0,94467,900202,kern,0.0003932450716616937,0.02398239506244154
34650,171.0,WASCO STATE PRISON,2021-02-05,250.0,2373.0,4588.0,96514,900202,kern,0.002273934072574822,0.025129915285680326
34651,171.0,WASCO STATE PRISON,2021-02-07,287.0,2373.0,4588.0,97249,900202,kern,0.0008164834115009743,0.022857092074889857
34652,171.0,WASCO STATE PRISON,2021-02-08,287.0,2373.0,4588.0,97522,900202,kern,0.0003032652671289333,0.019766674590814062
34653,171.0,WASCO STATE PRISON,2021-02-10,285.0,2400.0,4588.0,98636,900202,kern,0.0012375000277715447,0.01904683615455198
34654,171.0,WASCO STATE PRISON,2021-02-12,297.0,2400.0,4588.0,99570,900202,kern,0.0010375449065876325,0.01779933837072124
34655,171.0,WASCO STATE PRISON,2021-02-14,329.0,2400.0,4588.0,100290,900202,kern,0.0007998204847356482,0.01658294471685244
34656,171.0,WASCO STATE PRISON,2021-02-15,251.0,2400.0,4588.0,100434,900202,kern,0.00015996409694712965,0.015825336979922285
34657,171.0,WASCO STATE PRISON,2021-02-17,158.0,2493.0,4588.0,100849,900202,kern,0.0004610076405073528,0.015117718023288106
34658,171.0,WASCO STATE PRISON,2021-02-19,160.0,2493.0,4588.0,101370,900202,kern,0.0005787589896489899,0.014408988204869574
34659,171.0,WASCO STATE PRISON,2021-02-22,130.0,2493.0,4588.0,101849,900202,kern,0.0005321027947060771,0.01253607523644693
34660,171.0,WASCO STATE PRISON,2021-02-23,111.0,2493.0,4588.0,102137,900202,kern,0.0003199281938942593,0.01152519101268382
34661,171.0,WASCO STATE PRISON,2021-02-24,99.0,2611.0,4588.0,102332,900202,kern,0.00021661804794923805,0.010375449065876325
34662,171.0,WASCO STATE PRISON,2021-02-26,38.0,2611.0,4588.0,102998,900202,kern,0.0007398339483804746,0.00987000695399477
34663,171.0,WASCO STATE PRISON,2021-02-28,33.0,2611.0,4588.0,103295,900202,kern,0.0003299259499534549,0.009806687832286531
34664,171.0,WASCO STATE PRISON,2021-03-01,33.0,2611.0,4588.0,103422,900202,kern,0.0001410794466130935,0.007673833206324802
34665,171.0,WASCO STATE PRISON,2021-03-03,19.0,2611.0,4588.0,103756,900202,kern,0.00037102783597459235,0.007228377630798421
34666,171.0,WASCO STATE PRISON,2021-03-05,23.0,2563.0,4588.0,104057,900202,kern,0.00033436939709087515,0.007259481760760363
34667,171.0,WASCO STATE PRISON,2021-03-07,21.0,2563.0,4588.0,104242,900202,kern,0.00020550943010568738,0.006227491163094506
34668,171.0,WASCO STATE PRISON,2021-03-08,24.0,2563.0,4588.0,104307,900202,kern,7.220601598307935e-05,0.0052621522724899525
34669,171.0,WASCO STATE PRISON,2021-03-10,18.0,2563.0,4588.0,104509,900202,kern,0.00022439408043972353,0.004686725868194027
34670,171.0,WASCO STATE PRISON,2021-03-12,18.0,2831.0,4588.0,104763,900202,kern,0.000282158893226187,0.004808920664473085
34671,171.0,WASCO STATE PRISON,2021-03-14,17.0,2831.0,4588.0,104878,900202,kern,0.0001277491052008327,0.004475662129166565
34672,171.0,WASCO STATE PRISON,2021-03-15,17.0,2831.0,4588.0,104943,900202,kern,7.220601598307935e-05,0.003969109155500654
34673,171.0,WASCO STATE PRISON,2021-03-17,13.0,2831.0,4588.0,105144,900202,kern,0.00022328321865536845,0.0036602895794499457
34674,171.0,WASCO STATE PRISON,2021-03-19,14.0,2867.0,4588.0,105368,900202,kern,0.000248833039695535,0.0035891944252512214
34675,171.0,WASCO STATE PRISON,2021-03-21,12.0,2867.0,4588.0,105499,900202,kern,0.00014552289375051376,0.003518099271052497
34676,171.0,WASCO STATE PRISON,2021-03-22,11.0,2867.0,4588.0,105542,900202,kern,4.776705672726788e-05,0.0028260323793992902
34677,171.0,WASCO STATE PRISON,2021-03-24,9.0,2867.0,4588.0,105810,900202,kern,0.00029771095820715795,0.0027938173876529936
34678,171.0,WASCO STATE PRISON,2021-03-26,3.0,2898.0,4588.0,105912,900202,kern,0.00011330790200421683,0.0027660458430441167
34679,171.0,WASCO STATE PRISON,2021-03-28,2.0,2898.0,4588.0,106074,900202,kern,0.00017995960906552085,0.0025749776161350453
34680,171.0,WASCO STATE PRISON,2021-03-29,2.0,2898.0,4588.0,106127,900202,kern,5.887567457081855e-05,0.0022994838936149886
34681,171.0,WASCO STATE PRISON,2021-03-31,2.0,2898.0,4588.0,106239,900202,kern,0.0001244165198477675,0.0022183909833570687
34682,171.0,WASCO STATE PRISON,2021-04-02,1.0,3148.0,4588.0,106329,900202,kern,9.997756059195603e-05,0.0022461625279659456
34683,171.0,WASCO STATE PRISON,2021-04-04,2.0,3148.0,4588.0,106460,900202,kern,0.00014552289375051376,0.0021672913412767356
34684,171.0,WASCO STATE PRISON,2021-04-05,1.0,3089.0,4588.0,106480,900202,kern,2.221723568710134e-05,0.00190734968373765
34685,171.0,WASCO STATE PRISON,2021-04-07,0.0,3076.0,4588.0,106628,900202,kern,0.00016440754408454992,0.0019440081226213672
34686,171.0,WASCO STATE PRISON,2021-04-09,0.0,3066.0,4588.0,106984,900202,kern,0.00039546679523040385,0.0022672689018686915
34687,171.0,WASCO STATE PRISON,2021-04-11,0.0,3081.0,4588.0,107341,900202,kern,0.0003965776570147589,0.002440563340228082
34688,171.0,WASCO STATE PRISON,2021-04-12,3.0,3045.0,4588.0,107374,900202,kern,3.665843888371721e-05,0.0022283887394162643
34689,171.0,WASCO STATE PRISON,2021-04-14,3.0,3006.0,4588.0,107591,900202,kern,0.00024105700720504952,0.0023239228528708
34690,171.0,WASCO STATE PRISON,2021-04-16,4.0,3098.0,4588.0,107764,900202,kern,0.00019217908869342658,0.002468334884836959
