,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County,County.new,County.active
19461,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-10,0.0,2385.0,4049.0,841,30573,lassen,,0.0
19462,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-12,0.0,2349.0,4049.0,906,30573,lassen,0.0021260589408955612,0.0021260589408955612
19463,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-14,0.0,2349.0,4049.0,1135,30573,lassen,0.007490269191770516,0.009616328132666078
19464,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-16,0.0,2349.0,4049.0,1135,30573,lassen,0.0,0.009616328132666078
19465,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-18,1.0,2330.0,4049.0,1214,30573,lassen,0.002583979328165375,0.012200307460831453
19466,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-20,4.0,2330.0,4049.0,1355,30573,lassen,0.004611912471788833,0.016812219932620286
19467,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-22,4.0,2330.0,4049.0,1480,30573,lassen,0.004088574886337618,0.020900794818957905
19468,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-23,14.0,2330.0,4049.0,1715,30573,lassen,0.007686520786314722,0.028587315605272626
19469,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-24,28.0,2330.0,4049.0,1715,30573,lassen,0.0,0.028587315605272626
19470,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-26,29.0,2295.0,4049.0,1773,30573,lassen,0.0018970987472606549,0.03048441435253328
19471,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-29,32.0,2295.0,4049.0,1773,30573,lassen,0.0,0.03048441435253328
19472,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-11-30,32.0,2295.0,4049.0,2160,30573,lassen,0.012658227848101266,0.043142642200634546
19473,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-02,30.0,2272.0,4049.0,2220,30573,lassen,0.001962515945442057,0.0451051581460766
19474,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-04,11.0,2272.0,4049.0,2422,30573,lassen,0.006607137016321591,0.0517122951623982
19475,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-06,20.0,2272.0,4049.0,2422,30573,lassen,0.0,0.0517122951623982
19476,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-07,21.0,2272.0,4049.0,2812,30573,lassen,0.012756353645373369,0.062342589866876
19477,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-09,20.0,2227.0,4049.0,2930,30573,lassen,0.0038596146927027115,0.05871193536780819
19478,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-13,43.0,2227.0,4049.0,3127,30573,lassen,0.006443594020868086,0.06515552938867629
19479,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-14,44.0,2227.0,4049.0,3127,30573,lassen,0.0,0.0625715500605109
19480,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-16,32.0,2192.0,4049.0,3685,30573,lassen,0.01825139829261113,0.0762110358813332
19481,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-18,54.0,2192.0,4049.0,3861,30573,lassen,0.005756713439963366,0.07787917443495895
19482,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-21,146.0,2192.0,4049.0,4116,30573,lassen,0.008340692768128741,0.07853334641677297
19483,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-22,146.0,2192.0,4049.0,4156,30573,lassen,0.0013083439636280378,0.07984169038040101
19484,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-23,133.0,2168.0,4049.0,4180,30573,lassen,0.0007850063781768226,0.07872959801131718
19485,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-25,154.0,2168.0,4049.0,4180,30573,lassen,0.0,0.07872959801131718
19486,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-27,370.0,2168.0,4049.0,4180,30573,lassen,0.0,0.0660713701632159
19487,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-28,370.0,2168.0,4049.0,4573,30573,lassen,0.012854479442645471,0.07696333366041933
19488,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-29,371.0,2168.0,4049.0,4615,30573,lassen,0.0013737611618094398,0.07172995780590717
19489,89.0,CALIFORNIA CORRECTIONAL CENTER,2020-12-30,356.0,2140.0,4049.0,4615,30573,lassen,0.0,0.07172995780590717
19490,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-01,289.0,2140.0,4049.0,4691,30573,lassen,0.0024858535308932717,0.06145945769142708
19491,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-03,364.0,2140.0,4049.0,4691,30573,lassen,0.0,0.057599842998724365
19492,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-04,355.0,2140.0,4049.0,4845,30573,lassen,0.005037124259967945,0.05619337323782422
19493,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-05,356.0,2140.0,4049.0,4845,30573,lassen,0.0,0.05619337323782422
19494,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-06,353.0,2110.0,4049.0,4912,30573,lassen,0.0021914761390769634,0.04013345108429006
19495,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-08,143.0,2110.0,4049.0,4947,30573,lassen,0.001144800968174533,0.03552153861250123
19497,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-11,141.0,2110.0,4049.0,5022,30573,lassen,0.002453144931802571,0.029633990776175057
19498,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-13,113.0,2139.0,4049.0,5048,30573,lassen,0.0008504235763582246,0.029176070388905243
19499,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-15,45.0,2139.0,4049.0,5094,30573,lassen,0.0015045955581722435,0.029895659568900664
19500,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-17,46.0,2139.0,4049.0,5094,30573,lassen,0.0,0.029895659568900664
19501,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-18,46.0,2139.0,4049.0,5094,30573,lassen,0.0,0.029895659568900664
19502,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-20,39.0,2131.0,4049.0,5199,30573,lassen,0.0034344029045235993,0.02047558303077879
19503,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-22,43.0,2131.0,4049.0,5224,30573,lassen,0.0008177149772675236,0.019919536846236877
19504,89.0,CALIFORNIA CORRECTIONAL CENTER,2021-01-25,43.0,2131.0,4049.0,5269,30573,lassen,0.0014718869590815426,0.02139142380531842
