,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County,County.new,County.active
33047,152.0,SALINAS VALLEY STATE PRISON,2020-11-10,6.0,2798.0,2917.0,12467,434061,monterey,,0.0
33048,152.0,SALINAS VALLEY STATE PRISON,2020-11-12,4.0,2804.0,2917.0,12633,434061,monterey,0.00038243472691626293,0.00038243472691626293
33049,152.0,SALINAS VALLEY STATE PRISON,2020-11-14,3.0,2804.0,2917.0,13024,434061,monterey,0.0009007950495437278,0.0012832297764599906
33050,152.0,SALINAS VALLEY STATE PRISON,2020-11-16,3.0,2804.0,2917.0,13282,434061,monterey,0.000594386503279493,0.0018776162797394837
33051,152.0,SALINAS VALLEY STATE PRISON,2020-11-18,3.0,2820.0,2917.0,13556,434061,monterey,0.0006312476817774461,0.0025088639615169295
33052,152.0,SALINAS VALLEY STATE PRISON,2020-11-20,2.0,2820.0,2917.0,13980,434061,monterey,0.0009768212301957558,0.0034856851917126857
33053,152.0,SALINAS VALLEY STATE PRISON,2020-11-22,3.0,2820.0,2917.0,14144,434061,monterey,0.0003778270796040188,0.0038635122713167043
33054,152.0,SALINAS VALLEY STATE PRISON,2020-11-23,3.0,2820.0,2917.0,14528,434061,monterey,0.0008846682839508733,0.004748180555267578
33055,152.0,SALINAS VALLEY STATE PRISON,2020-11-24,4.0,2820.0,2917.0,14624,434061,monterey,0.0002211670709877183,0.004969347626255296
33056,152.0,SALINAS VALLEY STATE PRISON,2020-11-26,4.0,2825.0,2917.0,15034,434061,monterey,0.000944567699010047,0.005913915325265343
33057,152.0,SALINAS VALLEY STATE PRISON,2020-11-29,5.0,2825.0,2917.0,15917,434061,monterey,0.002034276288355784,0.007948191613621126
33058,152.0,SALINAS VALLEY STATE PRISON,2020-11-30,5.0,2825.0,2917.0,16140,434061,monterey,0.0005137526753152207,0.008461944288936348
33059,152.0,SALINAS VALLEY STATE PRISON,2020-12-02,8.0,2814.0,2917.0,16385,434061,monterey,0.0005644367957499062,0.009026381084686255
33060,152.0,SALINAS VALLEY STATE PRISON,2020-12-04,12.0,2814.0,2917.0,17108,434061,monterey,0.0016656645033762535,0.010692045588062507
33061,152.0,SALINAS VALLEY STATE PRISON,2020-12-06,21.0,2814.0,2917.0,17810,434061,monterey,0.0016172842065976902,0.012309329794660198
33062,152.0,SALINAS VALLEY STATE PRISON,2020-12-07,28.0,2814.0,2917.0,18140,434061,monterey,0.0007602618065202817,0.012687156874264216
33063,152.0,SALINAS VALLEY STATE PRISON,2020-12-09,27.0,2812.0,2917.0,18304,434061,monterey,0.0003778270796040188,0.012164188904324507
33064,152.0,SALINAS VALLEY STATE PRISON,2020-12-13,65.0,2812.0,2917.0,19379,434061,monterey,0.002476610430331221,0.014046412831376235
33065,152.0,SALINAS VALLEY STATE PRISON,2020-12-14,86.0,2812.0,2917.0,19636,434061,monterey,0.0005920826796233709,0.01400724782922216
33066,152.0,SALINAS VALLEY STATE PRISON,2020-12-16,94.0,2813.0,2917.0,21659,434061,monterey,0.004660635256334939,0.017691061855361342
33067,152.0,SALINAS VALLEY STATE PRISON,2020-12-18,91.0,2813.0,2917.0,22914,434061,monterey,0.0028912986884331924,0.020204533464190516
33068,152.0,SALINAS VALLEY STATE PRISON,2020-12-21,112.0,2813.0,2917.0,24307,434061,monterey,0.0032092263529780378,0.022529091533217683
33069,152.0,SALINAS VALLEY STATE PRISON,2020-12-22,115.0,2813.0,2917.0,24800,434061,monterey,0.0011357850624681785,0.023443709524698143
33070,152.0,SALINAS VALLEY STATE PRISON,2020-12-23,117.0,2807.0,2917.0,25525,434061,monterey,0.0016702721506884977,0.02416941397637659
33071,152.0,SALINAS VALLEY STATE PRISON,2020-12-25,111.0,2807.0,2917.0,26470,434061,monterey,0.0021771133550353523,0.02431225104305616
33072,152.0,SALINAS VALLEY STATE PRISON,2020-12-27,115.0,2807.0,2917.0,27022,434061,monterey,0.0012717106581793803,0.02507020902592032
33073,152.0,SALINAS VALLEY STATE PRISON,2020-12-28,112.0,2807.0,2917.0,27246,434061,monterey,0.0005160564989713427,0.025021828729141757
33074,152.0,SALINAS VALLEY STATE PRISON,2020-12-29,110.0,2807.0,2917.0,27624,434061,monterey,0.0008708453420141408,0.024227009567779643
33075,152.0,SALINAS VALLEY STATE PRISON,2020-12-30,107.0,2800.0,2917.0,27735,434061,monterey,0.0002557244258295493,0.022865449787011504
33076,152.0,SALINAS VALLEY STATE PRISON,2021-01-01,126.0,2800.0,2917.0,29258,434061,monterey,0.0035087234282739064,0.02561391140876513
33077,152.0,SALINAS VALLEY STATE PRISON,2021-01-03,159.0,2800.0,2917.0,30169,434061,monterey,0.002098783350727202,0.02733486767988831
33078,152.0,SALINAS VALLEY STATE PRISON,2021-01-04,163.0,2800.0,2917.0,30508,434061,monterey,0.0007809962194253803,0.02563925346898247
33079,152.0,SALINAS VALLEY STATE PRISON,2021-01-05,168.0,2800.0,2917.0,30917,434061,monterey,0.0009422638753539249,0.025989434664713023
33080,152.0,SALINAS VALLEY STATE PRISON,2021-01-06,167.0,2802.0,2917.0,31297,434061,monterey,0.000875452989326385,0.02220425239770447
33081,152.0,SALINAS VALLEY STATE PRISON,2021-01-08,154.0,2802.0,2917.0,32512,434061,monterey,0.00279914574218831,0.022112099451459588
33083,152.0,SALINAS VALLEY STATE PRISON,2021-01-11,173.0,2802.0,2917.0,33881,434061,monterey,0.003153934585231108,0.022056807683712657
33084,152.0,SALINAS VALLEY STATE PRISON,2021-01-13,172.0,2812.0,2917.0,34857,434061,monterey,0.0022485318883751363,0.023169554509619616
33085,152.0,SALINAS VALLEY STATE PRISON,2021-01-15,130.0,2812.0,2917.0,35613,434061,monterey,0.0017416906840282817,0.023240973042959398
33086,152.0,SALINAS VALLEY STATE PRISON,2021-01-17,115.0,2812.0,2917.0,36571,434061,monterey,0.002207063062564939,0.023270922750488986
33087,152.0,SALINAS VALLEY STATE PRISON,2021-01-18,114.0,2812.0,2917.0,36805,434061,monterey,0.0005390947355325634,0.02253830682784217
33088,152.0,SALINAS VALLEY STATE PRISON,2021-01-20,109.0,2832.0,2917.0,37258,434061,monterey,0.0010436321162232958,0.023065882445094124
33089,152.0,SALINAS VALLEY STATE PRISON,2021-01-22,64.0,2832.0,2917.0,38241,434061,monterey,0.0022646586539679906,0.024459695757047973
33090,152.0,SALINAS VALLEY STATE PRISON,2021-01-25,74.0,2832.0,2917.0,39102,434061,monterey,0.0019835921679210986,0.026187563499139522
33091,152.0,SALINAS VALLEY STATE PRISON,2021-01-27,73.0,2854.0,2917.0,39557,434061,monterey,0.00104823976353554,0.023727079834401154
33092,152.0,SALINAS VALLEY STATE PRISON,2021-01-29,67.0,2854.0,2917.0,39994,434061,monterey,0.0010067709377253428,0.022635067421399296
33093,152.0,SALINAS VALLEY STATE PRISON,2021-01-31,65.0,2854.0,2917.0,40502,434061,monterey,0.0011703424173100095,0.023024413619283927
33094,152.0,SALINAS VALLEY STATE PRISON,2021-02-01,63.0,2854.0,2917.0,40691,434061,monterey,0.0004354226710070704,0.02251757241493707
33096,152.0,SALINAS VALLEY STATE PRISON,2021-02-05,61.0,2889.0,2917.0,41407,434061,monterey,0.001649537737783399,0.023291657163394087
33097,152.0,SALINAS VALLEY STATE PRISON,2021-02-07,44.0,2889.0,2917.0,41699,434061,monterey,0.0006727165075876432,0.02116522792879342
33098,152.0,SALINAS VALLEY STATE PRISON,2021-02-08,36.0,2889.0,2917.0,41793,434061,monterey,0.0002165594236754742,0.018227852767237783
33099,152.0,SALINAS VALLEY STATE PRISON,2021-02-10,27.0,2920.0,2917.0,42003,434061,monterey,0.00048380296778563383,0.016463123846648282
33100,152.0,SALINAS VALLEY STATE PRISON,2021-02-12,27.0,2920.0,2917.0,42291,434061,monterey,0.000663501212963155,0.015384934375583156
33101,152.0,SALINAS VALLEY STATE PRISON,2021-02-14,27.0,2920.0,2917.0,42511,434061,monterey,0.0005068412043468545,0.01368471251736507
33102,152.0,SALINAS VALLEY STATE PRISON,2021-02-15,25.0,2920.0,2917.0,42584,434061,monterey,0.0001681791268969108,0.013313796908729417
33103,152.0,SALINAS VALLEY STATE PRISON,2021-02-17,24.0,2946.0,2917.0,42710,434061,monterey,0.0002902817806713803,0.012560446573177503
33104,152.0,SALINAS VALLEY STATE PRISON,2021-02-19,33.0,2946.0,2917.0,42926,434061,monterey,0.0004976259097223663,0.010793413828931878
33105,152.0,SALINAS VALLEY STATE PRISON,2021-02-22,39.0,2946.0,2917.0,43131,434061,monterey,0.0004722838495050235,0.009282105510515804
33106,152.0,SALINAS VALLEY STATE PRISON,2021-02-23,33.0,2946.0,2917.0,43180,434061,monterey,0.00011288735914998122,0.008346753106130244
33107,152.0,SALINAS VALLEY STATE PRISON,2021-02-24,33.0,2966.0,2917.0,43242,434061,monterey,0.00014283706667956808,0.00748281923508447
33108,152.0,SALINAS VALLEY STATE PRISON,2021-02-26,39.0,2966.0,2917.0,43361,434061,monterey,0.0002741550150785258,0.006586631832852986
33109,152.0,SALINAS VALLEY STATE PRISON,2021-02-28,27.0,2966.0,2917.0,43437,434061,monterey,0.000175090597865277,0.006326299759711193
33110,152.0,SALINAS VALLEY STATE PRISON,2021-03-01,27.0,2966.0,2917.0,43452,434061,monterey,3.455735484183099e-05,0.0047113193767696245
33111,152.0,SALINAS VALLEY STATE PRISON,2021-03-03,18.0,2966.0,2917.0,43490,434061,monterey,8.75452989326385e-05,0.00412614816811462
33112,152.0,SALINAS VALLEY STATE PRISON,2021-03-05,12.0,2969.0,2917.0,43567,434061,monterey,0.00017739442152139907,0.0040869831659605445
33113,152.0,SALINAS VALLEY STATE PRISON,2021-03-07,9.0,2969.0,2917.0,43626,434061,monterey,0.0001359255957112019,0.0037391057938861126
33114,152.0,SALINAS VALLEY STATE PRISON,2021-03-08,9.0,2969.0,2917.0,43634,434061,monterey,1.8430589248976525e-05,0.0030940351701719345
33115,152.0,SALINAS VALLEY STATE PRISON,2021-03-10,7.0,2969.0,2917.0,43701,434061,monterey,0.0001543561849601784,0.002741550150785258
33116,152.0,SALINAS VALLEY STATE PRISON,2021-03-12,6.0,2994.0,2917.0,43755,434061,monterey,0.00012440647743059156,0.002697777501318939
33117,152.0,SALINAS VALLEY STATE PRISON,2021-03-14,6.0,2994.0,2917.0,43805,434061,monterey,0.00011519118280610329,0.0025226869034536623
33118,152.0,SALINAS VALLEY STATE PRISON,2021-03-15,6.0,2994.0,2917.0,43813,434061,monterey,1.8430589248976525e-05,0.0020434915829802723
33119,152.0,SALINAS VALLEY STATE PRISON,2021-03-17,2.0,2994.0,2917.0,43866,434061,monterey,0.00012210265377446947,0.0016933103872497184
33120,152.0,SALINAS VALLEY STATE PRISON,2021-03-19,2.0,3013.0,2917.0,43933,434061,monterey,0.0001543561849601784,0.0017347792130599155
33121,152.0,SALINAS VALLEY STATE PRISON,2021-03-21,2.0,3013.0,2917.0,43964,434061,monterey,7.141853333978404e-05,0.0016633606797201315
33122,152.0,SALINAS VALLEY STATE PRISON,2021-03-22,2.0,3013.0,2917.0,43975,434061,monterey,2.5342060217342725e-05,0.0014145477248589484
33123,152.0,SALINAS VALLEY STATE PRISON,2021-03-24,4.0,3013.0,2917.0,44019,434061,monterey,0.0001013682408693709,0.0013408253678630422
33124,152.0,SALINAS VALLEY STATE PRISON,2021-03-26,5.0,3035.0,2917.0,44067,434061,monterey,0.00011058353549385916,0.0014168515485150704
33125,152.0,SALINAS VALLEY STATE PRISON,2021-03-28,9.0,3035.0,2917.0,44124,434061,monterey,0.00013131794839895775,0.0014606241979813897
33126,152.0,SALINAS VALLEY STATE PRISON,2021-03-29,9.0,3035.0,2917.0,44139,434061,monterey,3.455735484183099e-05,0.0013177871313018216
33127,152.0,SALINAS VALLEY STATE PRISON,2021-03-31,10.0,3035.0,2917.0,44151,434061,monterey,2.764588387346479e-05,0.0012095074194640846
33128,152.0,SALINAS VALLEY STATE PRISON,2021-04-02,4.0,3077.0,2917.0,44205,434061,monterey,0.00012440647743059156,0.0013154833076456996
33129,152.0,SALINAS VALLEY STATE PRISON,2021-04-04,2.0,3077.0,2917.0,44242,434061,monterey,8.524147527651643e-05,0.0012463685979620376
33130,152.0,SALINAS VALLEY STATE PRISON,2021-04-05,2.0,3083.0,2917.0,44248,434061,monterey,1.3822941936732395e-05,0.0011357850624681785
33131,152.0,SALINAS VALLEY STATE PRISON,2021-04-07,0.0,3103.0,2917.0,44284,434061,monterey,8.293765162039437e-05,0.0011035315312824695
33132,152.0,SALINAS VALLEY STATE PRISON,2021-04-09,1.0,3110.0,2917.0,44344,434061,monterey,0.00013822941936732396,0.001223330361400817
33133,152.0,SALINAS VALLEY STATE PRISON,2021-04-11,1.0,3117.0,2917.0,44415,434061,monterey,0.00016357147958466668,0.001264799187211014
33134,152.0,SALINAS VALLEY STATE PRISON,2021-04-12,1.0,3116.0,2917.0,44430,434061,monterey,3.455735484183099e-05,0.0011450003570926666
33135,152.0,SALINAS VALLEY STATE PRISON,2021-04-14,1.0,3120.0,2917.0,44472,434061,monterey,9.676059355712676e-05,0.0011703424173100095
33136,152.0,SALINAS VALLEY STATE PRISON,2021-04-16,2.0,3101.0,2917.0,44503,434061,monterey,7.141853333978404e-05,0.0012164188904324508
33137,152.0,SALINAS VALLEY STATE PRISON,2021-04-18,0.0,3103.0,2917.0,44525,434061,monterey,5.068412043468545e-05,0.0011657347699977653
33138,152.0,SALINAS VALLEY STATE PRISON,2021-04-19,0.0,3105.0,2917.0,44530,434061,monterey,1.1519118280610329e-05,0.0010666703527845165
33139,152.0,SALINAS VALLEY STATE PRISON,2021-04-21,0.0,3109.0,2917.0,44595,434061,monterey,0.0001497485376479343,0.001085100942033493
33140,152.0,SALINAS VALLEY STATE PRISON,2021-04-23,1.0,3099.0,2917.0,44622,434061,monterey,6.220323871529578e-05,0.0011127468259069578
33141,152.0,SALINAS VALLEY STATE PRISON,2021-04-25,1.0,3099.0,2917.0,44638,434061,monterey,3.686117849795305e-05,0.001121962120531446
