,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County,County.new,County.active
26674,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-10,229.0,1917.0,2773.0,73245,2470546,riverside,,0.0
26675,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-12,200.0,1898.0,2773.0,74383,2470546,riverside,0.00046062692214595476,0.00046062692214595476
26676,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-14,208.0,1898.0,2773.0,75985,2470546,riverside,0.0006484396566588924,0.0011090665788048473
26677,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-16,232.0,1898.0,2773.0,77626,2470546,riverside,0.0006642256408097644,0.0017732922196146115
26678,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-18,177.0,1885.0,2773.0,79077,2470546,riverside,0.0005873195641773114,0.0023606117837919227
26679,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-20,175.0,1885.0,2773.0,81125,2470546,riverside,0.000828966552332966,0.003189578336124889
26680,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-22,89.0,1885.0,2773.0,83194,2470546,riverside,0.000837466697644974,0.004027045033769863
26681,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-23,89.0,1885.0,2773.0,83867,2470546,riverside,0.0002724094188086358,0.004299454452578498
26682,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-24,77.0,1885.0,2773.0,85439,2470546,riverside,0.0006362965919274524,0.004935751044505951
26683,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-26,72.0,1882.0,2773.0,87683,2470546,riverside,0.000908301241911707,0.0058440522864176584
26684,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-29,70.0,1882.0,2773.0,89694,2470546,riverside,0.0008139901058308568,0.006658042392248515
26685,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-11-30,70.0,1882.0,2773.0,90189,2470546,riverside,0.0002003605680687589,0.006858402960317274
26686,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-02,12.0,1880.0,2773.0,92879,2470546,riverside,0.0010888281375857807,0.007947231097903055
26687,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-04,10.0,1880.0,2773.0,98408,2470546,riverside,0.0022379668300043795,0.010185197927907435
26688,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-06,9.0,1880.0,2773.0,103593,2470546,riverside,0.0020987263544172017,0.012283924282324636
26689,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-07,9.0,1880.0,2773.0,106103,2470546,riverside,0.001015969749197141,0.012839267109375822
26690,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-09,6.0,1871.0,2773.0,114497,2470546,riverside,0.0033976295118568933,0.015588456964573822
26691,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-13,6.0,1871.0,2773.0,124753,2470546,riverside,0.004151309062854932,0.01907554038661899
26692,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-14,6.0,1871.0,2773.0,129055,2470546,riverside,0.0017413154824884865,0.020229536304930164
26693,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-16,5.0,1862.0,2773.0,141649,2470546,riverside,0.005097658574258483,0.024498228326855682
26694,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-18,4.0,1862.0,2773.0,148754,2470546,riverside,0.0028758824972293573,0.026536644126440065
26695,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-21,4.0,1862.0,2773.0,158911,2470546,riverside,0.0041112369492411795,0.03037547165687261
26696,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-22,4.0,1862.0,2773.0,162601,2470546,riverside,0.0014935969619671117,0.03123277202691227
26697,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-23,2.0,1857.0,2773.0,165934,2470546,riverside,0.0013490944916629765,0.03167356527666354
26698,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-25,2.0,1857.0,2773.0,174721,2470546,riverside,0.003556703659838756,0.034416278830671436
26699,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-27,2.0,1857.0,2773.0,180520,2470546,riverside,0.002347254412587339,0.03656317267519002
26700,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-28,2.0,1857.0,2773.0,182872,2470546,riverside,0.0009520162749448907,0.03642636081254913
26701,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-29,2.0,1857.0,2773.0,186775,2470546,riverside,0.0015798127215603352,0.035768206704105084
26702,113.0,CHUCKAWALLA VALLEY STATE PRISON,2020-12-30,2.0,1852.0,2773.0,185819,2470546,riverside,-0.00038695899610855254,0.03328252135357933
26703,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-01,0.0,1852.0,2773.0,198427,2470546,riverside,0.0051033253377998225,0.03736987694218201
26704,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-03,0.0,1852.0,2773.0,205311,2470546,riverside,0.0027864285870410834,0.0367586760173662
26705,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-04,0.0,1852.0,2773.0,207352,2470546,riverside,0.0008261331705622968,0.03343350012507357
26706,113.0,CHUCKAWALLA VALLEY STATE PRISON,2021-01-05,0.0,1852.0,2773.0,211197,2470546,riverside,0.001556336129746218,0.0332485207723313
