,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County,County.new,County.active
27384,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-10,0.0,1440.0,2052.0,23207,762148,san joaquin,,0.0
27385,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-12,0.0,1413.0,2052.0,23357,762148,san joaquin,0.00019681216771545685,0.00019681216771545685
27386,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-14,1.0,1413.0,2052.0,23899,762148,san joaquin,0.0007111479660118507,0.0009079601337273075
27387,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-16,1.0,1413.0,2052.0,23922,762148,san joaquin,3.017786571637005e-05,0.0009381379994436776
27388,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-18,2.0,1395.0,2052.0,24582,762148,san joaquin,0.0008659735379480101,0.0018041115373916877
27389,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-20,2.0,1395.0,2052.0,24923,762148,san joaquin,0.0004474196612731386,0.002251531198664826
27390,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-22,3.0,1395.0,2052.0,25112,762148,san joaquin,0.00024798333132147564,0.002499514529986302
27391,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-23,3.0,1395.0,2052.0,25128,762148,san joaquin,2.099329788964873e-05,0.0025205078278759505
27392,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-24,3.0,1395.0,2052.0,25828,762148,san joaquin,0.000918456782672132,0.0034389646105480827
27393,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-26,3.0,1382.0,2052.0,26292,762148,san joaquin,0.0006088056387998132,0.004047770249347896
27394,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-29,4.0,1382.0,2052.0,26344,762148,san joaquin,6.822821814135837e-05,0.004115998467489254
27395,116.0,DEUEL VOCATIONAL INSTITUTION,2020-11-30,6.0,1382.0,2052.0,26352,762148,san joaquin,1.0496648944824365e-05,0.0041264951164340785
27396,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-02,6.0,1370.0,2052.0,27399,762148,san joaquin,0.0013737489306538887,0.005500244047087967
27397,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-04,7.0,1370.0,2052.0,28538,762148,san joaquin,0.001494460393519369,0.006994704440607336
27398,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-06,12.0,1370.0,2052.0,28993,762148,san joaquin,0.0005969969087368858,0.007591701349344222
27399,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-07,12.0,1370.0,2052.0,29021,762148,san joaquin,3.6738271306885276e-05,0.0074316274529356505
27400,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-09,19.0,1364.0,2052.0,31432,762148,san joaquin,0.003163427575746443,0.009883907062670243
27401,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-13,25.0,1364.0,2052.0,33182,762148,san joaquin,0.00229614195668033,0.012149871153634202
27402,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-14,25.0,1364.0,2052.0,33576,762148,san joaquin,0.0005169599605326,0.011800857576218793
27403,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-16,26.0,1351.0,2052.0,36150,762148,san joaquin,0.0033772967979972396,0.014730734712942893
27404,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-18,29.0,1351.0,2052.0,37702,762148,san joaquin,0.0020363498952959266,0.016519101276917345
27405,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-21,88.0,1351.0,2052.0,40183,762148,san joaquin,0.003255273254013656,0.01975338123304135
27406,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-22,74.0,1351.0,2052.0,40848,762148,san joaquin,0.0008725339435385253,0.019707458393907744
27407,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-23,74.0,1339.0,2052.0,37137,762148,san joaquin,-0.004869133029280402,0.01422951972582753
27408,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-25,74.0,1339.0,2052.0,43623,762148,san joaquin,0.008510158132016353,0.022671449639702523
27409,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-27,78.0,1339.0,2052.0,45171,762148,san joaquin,0.0020311015708235148,0.024692054561581214
27410,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-28,67.0,1339.0,2052.0,45867,762148,san joaquin,0.0009132084581997197,0.024231514089127045
27411,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-29,66.0,1339.0,2052.0,46426,762148,san joaquin,0.0007334533450196025,0.02347050704062728
27412,116.0,DEUEL VOCATIONAL INSTITUTION,2020-12-30,92.0,1331.0,2052.0,46248,762148,san joaquin,-0.00023355043902234212,0.022639959692868052
27413,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-01,66.0,1331.0,2052.0,48507,762148,san joaquin,0.00296399124579478,0.025567212667355947
27414,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-03,64.0,1331.0,2052.0,49846,762148,san joaquin,0.001756876617139978,0.024160661708749483
27415,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-04,46.0,1331.0,2052.0,50654,762148,san joaquin,0.0010601615434272609,0.022924681295496414
27416,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-05,45.0,1331.0,2052.0,51021,762148,san joaquin,0.00048153377034381773,0.02288925510530763
27417,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-06,68.0,1323.0,2052.0,51381,762148,san joaquin,0.0004723492025170964,0.01998430750982749
27418,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-08,86.0,1323.0,2052.0,53160,762148,san joaquin,0.0023341923091053183,0.020282149923636878
27420,116.0,DEUEL VOCATIONAL INSTITUTION,2021-01-11,102.0,1323.0,2052.0,55257,762148,san joaquin,0.002751434104662087,0.01977831077428531
