,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County,County.new,County.active
21591,95.0,CALIFORNIA MENS COLONY,2020-11-10,1.0,3113.0,3758.0,4844,283111,san luis obispo,,0.0
21592,95.0,CALIFORNIA MENS COLONY,2020-11-12,1.0,3123.0,3758.0,4969,283111,san luis obispo,0.00044152293623349147,0.00044152293623349147
21593,95.0,CALIFORNIA MENS COLONY,2020-11-14,1.0,3123.0,3758.0,5148,283111,san luis obispo,0.0006322608446863598,0.0010737837809198512
21594,95.0,CALIFORNIA MENS COLONY,2020-11-16,1.0,3123.0,3758.0,5245,283111,san luis obispo,0.00034262179851718937,0.0014164055794370406
21595,95.0,CALIFORNIA MENS COLONY,2020-11-18,1.0,3151.0,3758.0,5411,283111,san luis obispo,0.0005863424593180766,0.002002748038755117
21596,95.0,CALIFORNIA MENS COLONY,2020-11-20,2.0,3151.0,3758.0,5617,283111,san luis obispo,0.0007276297989127939,0.002730377837667911
21597,95.0,CALIFORNIA MENS COLONY,2020-11-22,2.0,3151.0,3758.0,5763,283111,san luis obispo,0.000515698789520718,0.0032460766271886292
21598,95.0,CALIFORNIA MENS COLONY,2020-11-23,2.0,3151.0,3758.0,5872,283111,san luis obispo,0.00038500800039560455,0.003631084627584234
21599,95.0,CALIFORNIA MENS COLONY,2020-11-24,2.0,3151.0,3758.0,5907,283111,san luis obispo,0.0001236264221453776,0.0037547110497296115
21600,95.0,CALIFORNIA MENS COLONY,2020-11-26,2.0,3142.0,3758.0,6068,283111,san luis obispo,0.000568681541868737,0.004323392591598348
21601,95.0,CALIFORNIA MENS COLONY,2020-11-29,2.0,3142.0,3758.0,6259,283111,san luis obispo,0.0006746470465647749,0.004998039638163123
21602,95.0,CALIFORNIA MENS COLONY,2020-11-30,2.0,3142.0,3758.0,6338,283111,san luis obispo,0.0002790424956995666,0.00527708213386269
21603,95.0,CALIFORNIA MENS COLONY,2020-12-02,2.0,3131.0,3758.0,6445,283111,san luis obispo,0.0003779436334158687,0.0056550257672785586
21604,95.0,CALIFORNIA MENS COLONY,2020-12-04,5.0,3131.0,3758.0,6598,283111,san luis obispo,0.0005404240739497935,0.006195449841228352
21605,95.0,CALIFORNIA MENS COLONY,2020-12-06,12.0,3131.0,3758.0,6854,283111,san luis obispo,0.0009042389734061905,0.007099688814634543
21606,95.0,CALIFORNIA MENS COLONY,2020-12-07,32.0,3131.0,3758.0,6917,283111,san luis obispo,0.0002225275598616797,0.006880693438262731
21607,95.0,CALIFORNIA MENS COLONY,2020-12-09,61.0,3115.0,3758.0,7258,283111,san luis obispo,0.0012044745700449647,0.007452907163621336
21608,95.0,CALIFORNIA MENS COLONY,2020-12-13,179.0,3115.0,3758.0,7809,283111,san luis obispo,0.0019462331029172304,0.009056518468021376
21609,95.0,CALIFORNIA MENS COLONY,2020-12-14,180.0,3115.0,3758.0,7983,283111,san luis obispo,0.0006145999272370201,0.00908477593594032
21610,95.0,CALIFORNIA MENS COLONY,2020-12-16,182.0,3104.0,3758.0,8453,283111,san luis obispo,0.001660126240237928,0.010017272377265454
21611,95.0,CALIFORNIA MENS COLONY,2020-12-18,284.0,3104.0,3758.0,8810,283111,san luis obispo,0.0012609895058828516,0.010762563093627588
21612,95.0,CALIFORNIA MENS COLONY,2020-12-21,276.0,3104.0,3758.0,9233,283111,san luis obispo,0.001494113616214135,0.011871668709446118
21613,95.0,CALIFORNIA MENS COLONY,2020-12-22,265.0,3104.0,3758.0,9406,283111,san luis obispo,0.0006110677437471522,0.012359110031047893
21614,95.0,CALIFORNIA MENS COLONY,2020-12-23,310.0,3092.0,3758.0,9504,283111,san luis obispo,0.0003461539820070573,0.012136582471186213
21615,95.0,CALIFORNIA MENS COLONY,2020-12-25,319.0,3092.0,3758.0,9994,283111,san luis obispo,0.0017307699100352866,0.013192705334656725
21616,95.0,CALIFORNIA MENS COLONY,2020-12-27,361.0,3092.0,3758.0,10412,283111,san luis obispo,0.0014764526987647954,0.014390115537721954
21617,95.0,CALIFORNIA MENS COLONY,2020-12-28,364.0,3092.0,3758.0,10523,283111,san luis obispo,0.0003920723673753404,0.014404244271681426
21618,95.0,CALIFORNIA MENS COLONY,2020-12-29,364.0,3092.0,3758.0,10655,283111,san luis obispo,0.000466248220662567,0.014330068418394199
21619,95.0,CALIFORNIA MENS COLONY,2020-12-30,424.0,3078.0,3758.0,10818,283111,san luis obispo,0.0005757459088484728,0.014001575353836481
