,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County,County.new,County.active
21236,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-10,0.0,2041.0,2512.0,8319,447643,solano,,0.0
21237,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-12,0.0,2040.0,2512.0,8440,447643,solano,0.0002703046847599538,0.0002703046847599538
21238,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-14,0.0,2040.0,2512.0,8679,447643,solano,0.0005339076004762724,0.0008042122852362261
21239,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-16,0.0,2040.0,2512.0,8855,447643,solano,0.0003931704505599328,0.001197382735796159
21240,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-18,0.0,2050.0,2512.0,9023,447643,solano,0.0003752990664435722,0.0015726818022397313
21241,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-20,0.0,2050.0,2512.0,9251,447643,solano,0.0005093344473162765,0.0020820162495560077
21242,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-22,0.0,2050.0,2512.0,9405,447643,solano,0.0003440241442399412,0.002426040393795949
21243,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-23,0.0,2050.0,2512.0,9440,447643,solano,7.818730550907755e-05,0.0025042276993050266
21244,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-24,0.0,2050.0,2512.0,9765,447643,solano,0.0007260249797271486,0.0032302526790321754
21245,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-26,1.0,2051.0,2512.0,9992,447643,solano,0.0005071005243017315,0.0037373532033339067
21246,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-29,1.0,2051.0,2512.0,10451,447643,solano,0.0010253706636761885,0.004762723867010095
21247,94.0,CALIFORNIA MEDICAL FACILITY,2020-11-30,4.0,2051.0,2512.0,10454,447643,solano,6.701769043635218e-06,0.00476942563605373
21248,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-02,4.0,2043.0,2512.0,10774,447643,solano,0.0007148553646544233,0.005484281000708154
21249,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-04,4.0,2043.0,2512.0,11118,447643,solano,0.000768469517003505,0.006252750517711659
21250,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-06,4.0,2043.0,2512.0,11440,447643,solano,0.0007193232106835134,0.006972073728395172
21251,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-07,2.0,2043.0,2512.0,11450,447643,solano,2.233923014545073e-05,0.006724108273780669
21252,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-09,2.0,2038.0,2512.0,11964,447643,solano,0.0011482364294761675,0.007338437102780564
21253,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-13,8.0,2038.0,2512.0,13404,447643,solano,0.0032168491409449045,0.010162115793165536
21254,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-14,8.0,2038.0,2512.0,13483,447643,solano,0.00017647991814906074,0.009963296644871025
21255,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-16,36.0,2034.0,2512.0,14290,447643,solano,0.0018027758727378737,0.011256738070292621
21256,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-18,67.0,2034.0,2512.0,14807,447643,solano,0.0011549381985198027,0.012067652124572482
21257,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-21,157.0,2034.0,2512.0,16037,447643,solano,0.0027477253078904396,0.014737190126953846
21258,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-22,165.0,2034.0,2512.0,16393,447643,solano,0.0007952765931780459,0.014806441740404743
21259,94.0,CALIFORNIA MEDICAL FACILITY,2020-12-23,190.0,2021.0,2512.0,16793,447643,solano,0.000893569205818029,0.01519291042192104
