,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,County.cumul,County.Pop,County,County.new,County.active
33402,158.0,SIERRA CONSERVATION CENTER,2020-11-10,1.0,3065.0,4393.0,355,54478,tuolumne,,0.0
33403,158.0,SIERRA CONSERVATION CENTER,2020-11-12,1.0,3073.0,4393.0,355,54478,tuolumne,0.0,0.0
33404,158.0,SIERRA CONSERVATION CENTER,2020-11-14,1.0,3073.0,4393.0,450,54478,tuolumne,0.0017438231946840927,0.0017438231946840927
33405,158.0,SIERRA CONSERVATION CENTER,2020-11-16,1.0,3073.0,4393.0,545,54478,tuolumne,0.0017438231946840927,0.0034876463893681853
33406,158.0,SIERRA CONSERVATION CENTER,2020-11-18,1.0,3075.0,4393.0,592,54478,tuolumne,0.0008627335805279195,0.004350379969896105
33407,158.0,SIERRA CONSERVATION CENTER,2020-11-20,1.0,3075.0,4393.0,664,54478,tuolumne,0.0013216344212342596,0.005672014391130365
33408,158.0,SIERRA CONSERVATION CENTER,2020-11-22,0.0,3075.0,4393.0,691,54478,tuolumne,0.0004956129079628474,0.006167627299093212
33409,158.0,SIERRA CONSERVATION CENTER,2020-11-23,0.0,3075.0,4393.0,776,54478,tuolumne,0.0015602628584015566,0.007727890157494768
33410,158.0,SIERRA CONSERVATION CENTER,2020-11-24,0.0,3075.0,4393.0,834,54478,tuolumne,0.0010646499504387093,0.008792540107933478
33411,158.0,SIERRA CONSERVATION CENTER,2020-11-26,1.0,3106.0,4393.0,873,54478,tuolumne,0.0007158853115018907,0.009508425419435368
33412,158.0,SIERRA CONSERVATION CENTER,2020-11-29,2.0,3106.0,4393.0,990,54478,tuolumne,0.002147655934505672,0.01165608135394104
33413,158.0,SIERRA CONSERVATION CENTER,2020-11-30,2.0,3106.0,4393.0,1029,54478,tuolumne,0.0007158853115018907,0.012371966665442932
33414,158.0,SIERRA CONSERVATION CENTER,2020-12-02,2.0,3073.0,4393.0,1081,54478,tuolumne,0.0009545137486691876,0.01332648041411212
33415,158.0,SIERRA CONSERVATION CENTER,2020-12-04,2.0,3073.0,4393.0,1139,54478,tuolumne,0.0010646499504387093,0.014391130364550827
33416,158.0,SIERRA CONSERVATION CENTER,2020-12-06,7.0,3073.0,4393.0,1215,54478,tuolumne,0.0013950585557472742,0.0157861889202981
33417,158.0,SIERRA CONSERVATION CENTER,2020-12-07,11.0,3073.0,4393.0,1261,54478,tuolumne,0.000844377546899666,0.01663056646719777
33418,158.0,SIERRA CONSERVATION CENTER,2020-12-09,105.0,3052.0,4393.0,1325,54478,tuolumne,0.0011747861522082308,0.016061529424721905
33419,158.0,SIERRA CONSERVATION CENTER,2020-12-13,202.0,3052.0,4393.0,1617,54478,tuolumne,0.005359961819450053,0.019677668049487868
33420,158.0,SIERRA CONSERVATION CENTER,2020-12-14,317.0,3052.0,4393.0,1653,54478,tuolumne,0.0006608172106171298,0.019475751679577078
33421,158.0,SIERRA CONSERVATION CENTER,2020-12-16,421.0,3014.0,4393.0,1947,54478,tuolumne,0.005396673886706561,0.023550791145049377
33422,158.0,SIERRA CONSERVATION CENTER,2020-12-18,498.0,3014.0,4393.0,2073,54478,tuolumne,0.0023128602371599544,0.025368038474246485
33423,158.0,SIERRA CONSERVATION CENTER,2020-12-21,845.0,3014.0,4393.0,2430,54478,tuolumne,0.006553104005286537,0.030360879621131466
33424,158.0,SIERRA CONSERVATION CENTER,2020-12-22,849.0,3014.0,4393.0,2535,54478,tuolumne,0.0019273835309666287,0.031223613201659384
33425,158.0,SIERRA CONSERVATION CENTER,2020-12-23,933.0,2979.0,4393.0,2549,54478,tuolumne,0.00025698447079555047,0.030764712360953045
